battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
679255	1	역대급 물로켓	2150	WIN	RIGHT	0-1	battle_679255_g1_right.log
679288	1	deepsick	1940	WIN	LEFT	1-0	battle_679288_g1_left.log
679138	1	따뜻한밥상	1880	WIN	RIGHT	0-1	battle_679138_g1_right.log
679120	1	AI 바보들	1750	WIN	RIGHT	0-1	battle_679120_g1_right.log
679060	1	0262	1750	WIN	RIGHT	0-1	battle_679060_g1_right.log
679270	1	윤호와 함께 춤을	1720	WIN	RIGHT	0-1	battle_679270_g1_right.log
679225	1	Re:Entropy	1520	WIN	RIGHT	0-1	battle_679225_g1_right.log
679281	1	C_4=K_{2,2}	1460	WIN	RIGHT	0-1	battle_679281_g1_right.log
679236	1	Dorillas	1430	WIN	RIGHT	0-1	battle_679236_g1_right.log
679171	1	모지리들	1370	WIN	RIGHT	0-1	battle_679171_g1_right.log
679286	1	Decagrammaton	1370	WIN	LEFT	1-0	battle_679286_g1_left.log
679276	1	Ferris	1270	WIN	RIGHT	0-1	battle_679276_g1_right.log
679081	1	thanhchauns2	1260	WIN	RIGHT	0-1	battle_679081_g1_right.log
679200	1	예쁜 말 고운 말 - 1558	1240	WIN	RIGHT	0-1	battle_679200_g1_right.log
679287	1	DeepRed	1220	WIN	LEFT	1-0	battle_679287_g1_left.log
679263	1	캥캥캥캥캥캥	900	WIN	RIGHT	0-1	battle_679263_g1_right.log
679101	1	돌	2110	DRAW	RIGHT	1/2-1/2	battle_679101_g1_right.log
679155	1	안녕하세요민이입니다잘부탁드립니다	2660	LOSS	RIGHT	1-0	battle_679155_g1_right.log
679289	1	NEXT NATION	2430	LOSS	LEFT	0-1	battle_679289_g1_left.log
679213	1	빔앤권	2370	LOSS	RIGHT	1-0	battle_679213_g1_right.log
679186	1	봇이지 뭐	1970	LOSS	RIGHT	1-0	battle_679186_g1_right.log
679246	1	고양이와 집사	1580	LOSS	RIGHT	1-0	battle_679246_g1_right.log
