battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
677542	1	0262	1840	WIN	RIGHT	0-1	battle_677542_g1_right.log
677707	1	Re:Entropy	1800	WIN	RIGHT	0-1	battle_677707_g1_right.log
677583	1	돌	1750	WIN	RIGHT	0-1	battle_677583_g1_right.log
677752	1	윤호와 함께 춤을	1700	WIN	RIGHT	0-1	battle_677752_g1_right.log
677620	1	따뜻한밥상	1480	WIN	RIGHT	0-1	battle_677620_g1_right.log
677637	1	안녕하세요민이입니다잘부탁드립니다	1380	WIN	RIGHT	0-1	battle_677637_g1_right.log
677563	1	thanhchauns2	1340	WIN	RIGHT	0-1	battle_677563_g1_right.log
677745	1	캥캥캥캥캥캥	1290	WIN	RIGHT	0-1	battle_677745_g1_right.log
677718	1	Dorillas	1250	WIN	RIGHT	0-1	battle_677718_g1_right.log
677769	1	DeepRed	1250	WIN	LEFT	1-0	battle_677769_g1_left.log
677770	1	deepsick	1220	WIN	LEFT	1-0	battle_677770_g1_left.log
677682	1	예쁜 말 고운 말 - 1558	1190	WIN	RIGHT	0-1	battle_677682_g1_right.log
677728	1	고양이와 집사	2060	DRAW	RIGHT	1/2-1/2	battle_677728_g1_right.log
677602	1	AI 바보들	1670	DRAW	RIGHT	1/2-1/2	battle_677602_g1_right.log
677653	1	모지리들	1590	DRAW	RIGHT	1/2-1/2	battle_677653_g1_right.log
677768	1	Decagrammaton	1420	DRAW	LEFT	1/2-1/2	battle_677768_g1_left.log
677758	1	Ferris	1250	DRAW	RIGHT	1/2-1/2	battle_677758_g1_right.log
677695	1	빔앤권	2170	LOSS	RIGHT	1-0	battle_677695_g1_right.log
677771	1	NEXT NATION	2130	LOSS	LEFT	0-1	battle_677771_g1_left.log
677668	1	봇이지 뭐	1810	LOSS	RIGHT	1-0	battle_677668_g1_right.log
677737	1	역대급 물로켓	1780	LOSS	RIGHT	1-0	battle_677737_g1_right.log
677763	1	C_4=K_{2,2}	1360	LOSS	RIGHT	1-0	battle_677763_g1_right.log
