battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
678277	1	NEXT NATION	2170	WIN	LEFT	1-0	battle_678277_g1_left.log
678243	1	역대급 물로켓	1920	WIN	RIGHT	0-1	battle_678243_g1_right.log
678174	1	봇이지 뭐	1760	WIN	RIGHT	0-1	battle_678174_g1_right.log
678224	1	Dorillas	1710	WIN	RIGHT	0-1	battle_678224_g1_right.log
678126	1	따뜻한밥상	1580	WIN	RIGHT	0-1	battle_678126_g1_right.log
678048	1	0262	1520	WIN	RIGHT	0-1	battle_678048_g1_right.log
678213	1	Re:Entropy	1470	WIN	RIGHT	0-1	battle_678213_g1_right.log
678108	1	AI 바보들	1440	WIN	RIGHT	0-1	battle_678108_g1_right.log
678069	1	thanhchauns2	1370	WIN	RIGHT	0-1	battle_678069_g1_right.log
678274	1	Decagrammaton	1340	WIN	LEFT	1-0	battle_678274_g1_left.log
678276	1	deepsick	1260	WIN	LEFT	1-0	battle_678276_g1_left.log
678143	1	안녕하세요민이입니다잘부탁드립니다	1230	WIN	RIGHT	0-1	battle_678143_g1_right.log
678269	1	C_4=K_{2,2}	1220	WIN	RIGHT	0-1	battle_678269_g1_right.log
678188	1	예쁜 말 고운 말 - 1558	1170	WIN	RIGHT	0-1	battle_678188_g1_right.log
678264	1	Ferris	1170	WIN	RIGHT	0-1	battle_678264_g1_right.log
678251	1	캥캥캥캥캥캥	890	WIN	RIGHT	0-1	battle_678251_g1_right.log
678159	1	모지리들	850	WIN	RIGHT	0-1	battle_678159_g1_right.log
678275	1	DeepRed	720	WIN	LEFT	1-0	battle_678275_g1_left.log
678258	1	윤호와 함께 춤을	1820	DRAW	RIGHT	1/2-1/2	battle_678258_g1_right.log
678201	1	빔앤권	2260	LOSS	RIGHT	1-0	battle_678201_g1_right.log
678089	1	돌	1760	LOSS	RIGHT	1-0	battle_678089_g1_right.log
678234	1	고양이와 집사	1730	LOSS	RIGHT	1-0	battle_678234_g1_right.log
