battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
679508	1	역대급 물로켓	1940	WIN	RIGHT	0-1	battle_679508_g1_right.log
679499	1	고양이와 집사	1850	WIN	RIGHT	0-1	battle_679499_g1_right.log
679534	1	C_4=K_{2,2}	1760	WIN	RIGHT	0-1	battle_679534_g1_right.log
679539	1	Decagrammaton	1700	WIN	LEFT	1-0	battle_679539_g1_left.log
679541	1	deepsick	1670	WIN	LEFT	1-0	battle_679541_g1_left.log
679373	1	AI 바보들	1670	WIN	RIGHT	0-1	battle_679373_g1_right.log
679478	1	Re:Entropy	1540	WIN	RIGHT	0-1	battle_679478_g1_right.log
679516	1	캥캥캥캥캥캥	1370	WIN	RIGHT	0-1	battle_679516_g1_right.log
679313	1	0262	1370	WIN	RIGHT	0-1	battle_679313_g1_right.log
679334	1	thanhchauns2	1300	WIN	RIGHT	0-1	battle_679334_g1_right.log
679453	1	예쁜 말 고운 말 - 1558	1130	WIN	RIGHT	0-1	battle_679453_g1_right.log
679529	1	Ferris	1130	WIN	RIGHT	0-1	battle_679529_g1_right.log
679540	1	DeepRed	840	WIN	LEFT	1-0	battle_679540_g1_left.log
679354	1	돌	2110	DRAW	RIGHT	1/2-1/2	battle_679354_g1_right.log
679424	1	모지리들	1200	DRAW	RIGHT	1/2-1/2	battle_679424_g1_right.log
679542	1	NEXT NATION	2540	LOSS	LEFT	0-1	battle_679542_g1_left.log
679408	1	안녕하세요민이입니다잘부탁드립니다	2520	LOSS	RIGHT	1-0	battle_679408_g1_right.log
679466	1	빔앤권	2180	LOSS	RIGHT	1-0	battle_679466_g1_right.log
679391	1	따뜻한밥상	2180	LOSS	RIGHT	1-0	battle_679391_g1_right.log
679439	1	봇이지 뭐	2070	LOSS	RIGHT	1-0	battle_679439_g1_right.log
679523	1	윤호와 함께 춤을	1940	LOSS	RIGHT	1-0	battle_679523_g1_right.log
679489	1	Dorillas	1400	LOSS	RIGHT	1-0	battle_679489_g1_right.log
