battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
677836	1	돌	1950	WIN	RIGHT	0-1	battle_677836_g1_right.log
677990	1	역대급 물로켓	1800	WIN	RIGHT	0-1	battle_677990_g1_right.log
677890	1	안녕하세요민이입니다잘부탁드립니다	1800	WIN	RIGHT	0-1	battle_677890_g1_right.log
678005	1	윤호와 함께 춤을	1790	WIN	RIGHT	0-1	battle_678005_g1_right.log
677795	1	0262	1750	WIN	RIGHT	0-1	battle_677795_g1_right.log
677960	1	Re:Entropy	1740	WIN	RIGHT	0-1	battle_677960_g1_right.log
677906	1	모지리들	1680	WIN	RIGHT	0-1	battle_677906_g1_right.log
677971	1	Dorillas	1680	WIN	RIGHT	0-1	battle_677971_g1_right.log
677921	1	봇이지 뭐	1450	WIN	RIGHT	0-1	battle_677921_g1_right.log
677816	1	thanhchauns2	1350	WIN	RIGHT	0-1	battle_677816_g1_right.log
678016	1	C_4=K_{2,2}	1340	WIN	RIGHT	0-1	battle_678016_g1_right.log
677998	1	캥캥캥캥캥캥	1290	WIN	RIGHT	0-1	battle_677998_g1_right.log
678021	1	Decagrammaton	1270	WIN	LEFT	1-0	battle_678021_g1_left.log
677935	1	예쁜 말 고운 말 - 1558	1180	WIN	RIGHT	0-1	battle_677935_g1_right.log
678022	1	DeepRed	1070	WIN	LEFT	1-0	battle_678022_g1_left.log
678011	1	Ferris	830	WIN	RIGHT	0-1	battle_678011_g1_right.log
677981	1	고양이와 집사	1890	DRAW	RIGHT	1/2-1/2	battle_677981_g1_right.log
678024	1	NEXT NATION	2260	LOSS	LEFT	0-1	battle_678024_g1_left.log
677873	1	따뜻한밥상	2200	LOSS	RIGHT	1-0	battle_677873_g1_right.log
677948	1	빔앤권	2150	LOSS	RIGHT	1-0	battle_677948_g1_right.log
677855	1	AI 바보들	1740	LOSS	RIGHT	1-0	battle_677855_g1_right.log
678023	1	deepsick	1480	LOSS	LEFT	0-1	battle_678023_g1_left.log
