battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
676108	1	NEXT NATION	1660	WIN	LEFT	1-0	battle_676108_g1_left.log
676082	1	역대급 물로켓	1600	WIN	RIGHT	0-1	battle_676082_g1_right.log
675939	1	thanhchauns2	1330	WIN	RIGHT	0-1	battle_675939_g1_right.log
676107	1	deepsick	1330	WIN	LEFT	1-0	battle_676107_g1_left.log
676106	1	DeepRed	1270	WIN	LEFT	1-0	battle_676106_g1_left.log
676032	1	예쁜 말 고운 말 - 1558	1100	WIN	RIGHT	0-1	battle_676032_g1_right.log
676095	1	Ferris	1030	WIN	RIGHT	0-1	battle_676095_g1_right.log
676065	1	Dorillas	850	WIN	RIGHT	0-1	battle_676065_g1_right.log
676019	1	봇이지 뭐	1910	DRAW	RIGHT	1/2-1/2	battle_676019_g1_right.log
676005	1	모지리들	1870	DRAW	RIGHT	1/2-1/2	battle_676005_g1_right.log
676044	1	빔앤권	2010	LOSS	RIGHT	1-0	battle_676044_g1_right.log
675957	1	돌	1970	LOSS	RIGHT	1-0	battle_675957_g1_right.log
676074	1	고양이와 집사	1940	LOSS	RIGHT	1-0	battle_676074_g1_right.log
675974	1	따뜻한밥상	1870	LOSS	RIGHT	1-0	battle_675974_g1_right.log
676089	1	윤호와 함께 춤을	1850	LOSS	RIGHT	1-0	battle_676089_g1_right.log
675990	1	안녕하세요민이입니다잘부탁드립니다	1720	LOSS	RIGHT	1-0	battle_675990_g1_right.log
676105	1	Decagrammaton	1540	LOSS	LEFT	0-1	battle_676105_g1_left.log
675920	1	0262	1480	LOSS	RIGHT	1-0	battle_675920_g1_right.log
676055	1	Re:Entropy	1450	LOSS	RIGHT	1-0	battle_676055_g1_right.log
676100	1	C_4=K_{2,2}	1420	LOSS	RIGHT	1-0	battle_676100_g1_right.log
