battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
679002	1	역대급 물로켓	2160	WIN	RIGHT	0-1	battle_679002_g1_right.log
678993	1	고양이와 집사	2050	WIN	RIGHT	0-1	battle_678993_g1_right.log
679035	1	deepsick	1770	WIN	LEFT	1-0	battle_679035_g1_left.log
678867	1	AI 바보들	1710	WIN	RIGHT	0-1	battle_678867_g1_right.log
679028	1	C_4=K_{2,2}	1560	WIN	RIGHT	0-1	battle_679028_g1_right.log
678918	1	모지리들	1470	WIN	RIGHT	0-1	battle_678918_g1_right.log
678807	1	0262	1470	WIN	RIGHT	0-1	battle_678807_g1_right.log
678972	1	Re:Entropy	1440	WIN	RIGHT	0-1	battle_678972_g1_right.log
679023	1	Ferris	1210	WIN	RIGHT	0-1	battle_679023_g1_right.log
678828	1	thanhchauns2	1110	WIN	RIGHT	0-1	battle_678828_g1_right.log
678947	1	예쁜 말 고운 말 - 1558	1010	WIN	RIGHT	0-1	battle_678947_g1_right.log
679010	1	캥캥캥캥캥캥	950	WIN	RIGHT	0-1	battle_679010_g1_right.log
679034	1	DeepRed	570	WIN	LEFT	1-0	battle_679034_g1_left.log
678902	1	안녕하세요민이입니다잘부탁드립니다	2490	LOSS	RIGHT	1-0	battle_678902_g1_right.log
678848	1	돌	2200	LOSS	RIGHT	1-0	battle_678848_g1_right.log
678960	1	빔앤권	2120	LOSS	RIGHT	1-0	battle_678960_g1_right.log
678933	1	봇이지 뭐	2120	LOSS	RIGHT	1-0	battle_678933_g1_right.log
679017	1	윤호와 함께 춤을	1920	LOSS	RIGHT	1-0	battle_679017_g1_right.log
678885	1	따뜻한밥상	1830	LOSS	RIGHT	1-0	battle_678885_g1_right.log
678983	1	Dorillas	1810	LOSS	RIGHT	1-0	battle_678983_g1_right.log
679036	1	NEXT NATION	1710	LOSS	LEFT	0-1	battle_679036_g1_left.log
679033	1	Decagrammaton	1620	LOSS	LEFT	0-1	battle_679033_g1_left.log
