battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
678740	1	고양이와 집사	1940	WIN	RIGHT	0-1	battle_678740_g1_right.log
678764	1	윤호와 함께 춤을	1910	WIN	RIGHT	0-1	battle_678764_g1_right.log
678649	1	안녕하세요민이입니다잘부탁드립니다	1810	WIN	RIGHT	0-1	battle_678649_g1_right.log
678730	1	Dorillas	1780	WIN	RIGHT	0-1	battle_678730_g1_right.log
678614	1	AI 바보들	1750	WIN	RIGHT	0-1	battle_678614_g1_right.log
678719	1	Re:Entropy	1670	WIN	RIGHT	0-1	battle_678719_g1_right.log
678783	1	NEXT NATION	1580	WIN	LEFT	1-0	battle_678783_g1_left.log
678554	1	0262	1580	WIN	RIGHT	0-1	battle_678554_g1_right.log
678665	1	모지리들	1520	WIN	RIGHT	0-1	battle_678665_g1_right.log
678775	1	C_4=K_{2,2}	1510	WIN	RIGHT	0-1	battle_678775_g1_right.log
678680	1	봇이지 뭐	1380	WIN	RIGHT	0-1	battle_678680_g1_right.log
678782	1	deepsick	1380	WIN	LEFT	1-0	battle_678782_g1_left.log
678780	1	Decagrammaton	1380	WIN	LEFT	1-0	battle_678780_g1_left.log
678770	1	Ferris	1350	WIN	RIGHT	0-1	battle_678770_g1_right.log
678575	1	thanhchauns2	1310	WIN	RIGHT	0-1	battle_678575_g1_right.log
678757	1	캥캥캥캥캥캥	1080	WIN	RIGHT	0-1	battle_678757_g1_right.log
678694	1	예쁜 말 고운 말 - 1558	930	WIN	RIGHT	0-1	battle_678694_g1_right.log
678781	1	DeepRed	620	WIN	LEFT	1-0	battle_678781_g1_left.log
678749	1	역대급 물로켓	1920	DRAW	RIGHT	1/2-1/2	battle_678749_g1_right.log
678632	1	따뜻한밥상	1810	DRAW	RIGHT	1/2-1/2	battle_678632_g1_right.log
678707	1	빔앤권	2440	LOSS	RIGHT	1-0	battle_678707_g1_right.log
678595	1	돌	2360	LOSS	RIGHT	1-0	battle_678595_g1_right.log
