battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
676254	1	빔앤권	2000	WIN	RIGHT	0-1	battle_676254_g1_right.log
676284	1	고양이와 집사	1920	WIN	RIGHT	0-1	battle_676284_g1_right.log
676215	1	모지리들	1670	WIN	RIGHT	0-1	battle_676215_g1_right.log
676229	1	봇이지 뭐	1610	WIN	RIGHT	0-1	battle_676229_g1_right.log
676292	1	역대급 물로켓	1450	WIN	RIGHT	0-1	battle_676292_g1_right.log
676317	1	deepsick	1390	WIN	LEFT	1-0	battle_676317_g1_left.log
676130	1	0262	1320	WIN	RIGHT	0-1	battle_676130_g1_right.log
676149	1	thanhchauns2	1280	WIN	RIGHT	0-1	battle_676149_g1_right.log
676315	1	Decagrammaton	1230	WIN	LEFT	1-0	battle_676315_g1_left.log
676310	1	C_4=K_{2,2}	1200	WIN	RIGHT	0-1	battle_676310_g1_right.log
676316	1	DeepRed	1180	WIN	LEFT	1-0	battle_676316_g1_left.log
676242	1	예쁜 말 고운 말 - 1558	910	WIN	RIGHT	0-1	battle_676242_g1_right.log
676305	1	Ferris	880	WIN	RIGHT	0-1	battle_676305_g1_right.log
676275	1	Dorillas	760	WIN	RIGHT	0-1	battle_676275_g1_right.log
676167	1	돌	2030	DRAW	RIGHT	1/2-1/2	battle_676167_g1_right.log
676299	1	윤호와 함께 춤을	1730	DRAW	RIGHT	1/2-1/2	battle_676299_g1_right.log
676265	1	Re:Entropy	1890	LOSS	RIGHT	1-0	battle_676265_g1_right.log
676184	1	따뜻한밥상	1880	LOSS	RIGHT	1-0	battle_676184_g1_right.log
676200	1	안녕하세요민이입니다잘부탁드립니다	1780	LOSS	RIGHT	1-0	battle_676200_g1_right.log
676318	1	NEXT NATION	1740	LOSS	LEFT	0-1	battle_676318_g1_left.log
