battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
676683	1	빔앤권	2190	WIN	RIGHT	0-1	battle_676683_g1_right.log
676740	1	윤호와 함께 춤을	1870	WIN	RIGHT	0-1	battle_676740_g1_right.log
676656	1	봇이지 뭐	1810	WIN	RIGHT	0-1	battle_676656_g1_right.log
676725	1	역대급 물로켓	1780	WIN	RIGHT	0-1	battle_676725_g1_right.log
676608	1	따뜻한밥상	1600	WIN	RIGHT	0-1	battle_676608_g1_right.log
676590	1	돌	1570	WIN	RIGHT	0-1	battle_676590_g1_right.log
676571	1	thanhchauns2	1280	WIN	RIGHT	0-1	battle_676571_g1_right.log
676733	1	캥캥캥캥캥캥	1090	WIN	RIGHT	0-1	battle_676733_g1_right.log
676670	1	예쁜 말 고운 말 - 1558	970	WIN	RIGHT	0-1	battle_676670_g1_right.log
676757	1	DeepRed	810	WIN	LEFT	1-0	battle_676757_g1_left.log
676706	1	Dorillas	640	WIN	RIGHT	0-1	battle_676706_g1_right.log
676625	1	안녕하세요민이입니다잘부탁드립니다	1740	DRAW	RIGHT	1/2-1/2	battle_676625_g1_right.log
676758	1	deepsick	1660	DRAW	LEFT	1/2-1/2	battle_676758_g1_left.log
676716	1	고양이와 집사	2050	LOSS	RIGHT	1-0	battle_676716_g1_right.log
676695	1	Re:Entropy	1920	LOSS	RIGHT	1-0	battle_676695_g1_right.log
676641	1	모지리들	1880	LOSS	RIGHT	1-0	battle_676641_g1_right.log
676759	1	NEXT NATION	1720	LOSS	LEFT	0-1	battle_676759_g1_left.log
676756	1	Decagrammaton	1600	LOSS	LEFT	0-1	battle_676756_g1_left.log
676551	1	0262	1600	LOSS	RIGHT	1-0	battle_676551_g1_right.log
676751	1	C_4=K_{2,2}	1480	LOSS	RIGHT	1-0	battle_676751_g1_right.log
676746	1	Ferris	860	LOSS	RIGHT	1-0	battle_676746_g1_right.log
