game	seed	map	left	right	winner
1	1204000	181/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
2	1204001	183/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
3	1204002	185/13	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
4	1204003	187/15	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
5	1204004	189/17	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
6	1204005	191/13	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
7	1204006	193/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	TEAM/round_13_1400/jinsu_rush.cpp
8	1204007	195/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp
9	1204008	197/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	TEAM/round_13_1400/jinsu_rush.cpp
10	1204009	199/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
11	1204010	201/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
12	1204011	203/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
13	1204012	205/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
14	1204013	207/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
15	1204014	209/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
16	1204015	211/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	/home/inhyeok/work/inhyuk_v6.cpp
17	1204016	213/15	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp
18	1204017	215/17	TEAM/round_13_1400/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp
