game	seed	map	left	right	winner
1	730000	181/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
2	730001	183/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
3	730002	185/13	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
4	730003	187/15	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	DRAW
5	730004	189/17	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
6	730005	191/13	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
7	730006	193/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
8	730007	195/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
9	730008	197/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
10	730009	199/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	DRAW
11	730010	201/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
12	730011	203/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
13	730012	205/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
14	730013	207/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
15	730014	209/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
16	730015	211/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
17	730016	213/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
18	730017	215/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
19	730018	217/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
20	730019	219/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
21	730020	221/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
22	730021	223/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	DRAW
23	730022	225/19	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
24	730023	227/15	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
25	730024	229/17	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
26	730025	231/19	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
27	730026	233/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
28	730027	235/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
29	730028	237/19	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
30	730029	239/15	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
31	730030	241/17	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp
32	730031	243/19	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	DRAW
33	730032	245/15	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	TEAM/round_7_1230/inhyuk_v1.cpp
34	730033	247/17	TEAM/round_7_1230/inhyuk_v1.cpp	/tmp/inhyuk_v2_conservative.cpp	/tmp/inhyuk_v2_conservative.cpp
35	730034	249/19	/tmp/inhyuk_v2_conservative.cpp	TEAM/round_7_1230/inhyuk_v1.cpp	DRAW
