game	seed	map	left	right	winner
1	265668727	181/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
2	2921710328	183/17	sehyeon_v3	inhyuk_v7	DRAW
3	1104714217	185/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
4	262529799	187/13	sehyeon_v3	inhyuk_v7	sehyeon_v3
5	2521431275	189/17	inhyuk_v7	sehyeon_v3	DRAW
6	41041401	191/13	sehyeon_v3	inhyuk_v7	sehyeon_v3
7	313216782	193/13	inhyuk_v7	sehyeon_v3	DRAW
8	1263120200	195/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
9	771929688	197/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
10	2799621014	199/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
11	2015811458	201/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
12	20608537	203/17	sehyeon_v3	inhyuk_v7	DRAW
13	3261627921	205/17	inhyuk_v7	sehyeon_v3	DRAW
14	226251287	207/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
15	1958321235	209/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
16	3275726845	211/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
17	1442012208	213/15	inhyuk_v7	sehyeon_v3	DRAW
18	209565699	215/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
19	2435012009	217/17	inhyuk_v7	sehyeon_v3	DRAW
20	239347165	219/17	sehyeon_v3	inhyuk_v7	DRAW
21	22160935	221/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
22	305519993	223/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
23	170551360	225/17	inhyuk_v7	sehyeon_v3	DRAW
24	1896124764	227/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
25	785812305	229/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
26	1599426831	231/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
27	2046511230	233/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
28	837928052	235/19	sehyeon_v3	inhyuk_v7	sehyeon_v3
29	22532192	237/19	inhyuk_v7	sehyeon_v3	sehyeon_v3
30	2721831726	239/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
31	132338737	241/17	inhyuk_v7	sehyeon_v3	DRAW
32	106751720	243/19	sehyeon_v3	inhyuk_v7	DRAW
33	65444113	245/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
34	124644075	247/15	sehyeon_v3	inhyuk_v7	DRAW
35	83758402	249/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
36	3166627167	181/13	sehyeon_v3	inhyuk_v7	inhyuk_v7
37	3106529506	183/15	inhyuk_v7	sehyeon_v3	DRAW
38	145625581	185/15	sehyeon_v3	inhyuk_v7	DRAW
39	1525130685	187/13	inhyuk_v7	sehyeon_v3	DRAW
40	283393194	189/13	sehyeon_v3	inhyuk_v7	inhyuk_v7
41	124024206	191/13	inhyuk_v7	sehyeon_v3	inhyuk_v7
42	202878602	193/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
43	180992805	195/13	inhyuk_v7	sehyeon_v3	inhyuk_v7
44	21386490	197/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
45	2778716472	199/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
46	1331031755	201/17	sehyeon_v3	inhyuk_v7	DRAW
47	2062222769	203/17	inhyuk_v7	sehyeon_v3	inhyuk_v7
48	1052329942	205/15	sehyeon_v3	inhyuk_v7	DRAW
49	709920303	207/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
50	2805930258	209/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
51	413028655	211/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
52	2272325866	213/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
53	989027478	215/15	inhyuk_v7	sehyeon_v3	DRAW
54	2159620170	217/15	sehyeon_v3	inhyuk_v7	DRAW
55	1517817182	219/15	inhyuk_v7	sehyeon_v3	DRAW
56	2243412506	221/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
57	2445923068	223/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
58	174437899	225/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
59	1424019705	227/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
60	374523958	229/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
61	102972742	231/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
62	991110311	233/19	sehyeon_v3	inhyuk_v7	DRAW
63	142221484	235/17	inhyuk_v7	sehyeon_v3	inhyuk_v7
64	1428113950	237/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
65	70941670	239/17	inhyuk_v7	sehyeon_v3	DRAW
66	1989012542	241/19	sehyeon_v3	inhyuk_v7	sehyeon_v3
67	317665541	243/19	inhyuk_v7	sehyeon_v3	inhyuk_v7
68	311929353	245/15	sehyeon_v3	inhyuk_v7	DRAW
69	262986534	247/15	inhyuk_v7	sehyeon_v3	DRAW
70	67985303	249/19	sehyeon_v3	inhyuk_v7	sehyeon_v3
71	214117600	181/15	inhyuk_v7	sehyeon_v3	DRAW
72	49625547	183/13	sehyeon_v3	inhyuk_v7	sehyeon_v3
73	2846224608	185/13	inhyuk_v7	sehyeon_v3	inhyuk_v7
74	235453557	187/13	sehyeon_v3	inhyuk_v7	sehyeon_v3
75	1455418934	189/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
76	842125404	191/13	sehyeon_v3	inhyuk_v7	DRAW
77	3047921792	193/17	inhyuk_v7	sehyeon_v3	inhyuk_v7
78	259091362	195/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
79	1734527686	197/15	inhyuk_v7	sehyeon_v3	DRAW
80	3095418124	199/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
81	207777259	201/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
82	269585285	203/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
83	2462729368	205/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
84	2224011232	207/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
85	473448	209/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
86	1179325732	211/15	sehyeon_v3	inhyuk_v7	DRAW
87	1059318839	213/17	inhyuk_v7	sehyeon_v3	inhyuk_v7
88	604530092	215/15	sehyeon_v3	inhyuk_v7	sehyeon_v3
89	280828231	217/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
90	1486513261	219/17	sehyeon_v3	inhyuk_v7	sehyeon_v3
91	393522360	221/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
92	2094128194	223/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
93	248523188	225/19	inhyuk_v7	sehyeon_v3	DRAW
94	488826073	227/17	sehyeon_v3	inhyuk_v7	DRAW
95	927231943	229/17	inhyuk_v7	sehyeon_v3	inhyuk_v7
96	1270232188	231/17	sehyeon_v3	inhyuk_v7	inhyuk_v7
97	2777023745	233/19	inhyuk_v7	sehyeon_v3	sehyeon_v3
98	1519121127	235/15	sehyeon_v3	inhyuk_v7	inhyuk_v7
99	87602518	237/17	inhyuk_v7	sehyeon_v3	sehyeon_v3
100	1142227464	239/15	sehyeon_v3	inhyuk_v7	DRAW
101	622326060	241/15	inhyuk_v7	sehyeon_v3	inhyuk_v7
102	3272428632	243/15	sehyeon_v3	inhyuk_v7	DRAW
103	253201598	245/19	inhyuk_v7	sehyeon_v3	inhyuk_v7
104	1785916912	247/17	sehyeon_v3	inhyuk_v7	DRAW
105	1532619252	249/15	inhyuk_v7	sehyeon_v3	sehyeon_v3
