game	seed	map	left	right	winner
1	1056613248	181/13	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
2	139848087	183/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
3	59307119	185/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
4	2747621353	187/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
5	425911136	189/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
6	203028945	191/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
7	23041727	193/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
8	1221713079	195/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
9	113366822	197/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
10	2259921778	199/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
11	24954211	201/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
12	25170605	203/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
13	428312814	205/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
14	548910365	207/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
15	3226425112	209/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
16	2320212653	211/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
17	177015328	213/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
18	125353981	215/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
19	3185029368	217/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
20	906610224	219/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
21	136066516	221/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
22	175053518	223/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
23	2152026951	225/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
24	107626865	227/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
25	1626928716	229/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
26	1757013389	231/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
27	1277023473	233/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
28	1058128648	235/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
29	224831035	237/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
30	5083619	239/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
31	2144619534	241/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
32	805728845	243/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
33	2386631289	245/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
34	186423342	247/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
35	165928342	249/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
