game	seed	map	left	right	winner
1	1882713536	181/17	jyp_v3	sehyeon_v3	sehyeon_v3
2	923610548	183/17	sehyeon_v3	jyp_v3	sehyeon_v3
3	1181323411	185/15	jyp_v3	sehyeon_v3	sehyeon_v3
4	1539511732	187/15	sehyeon_v3	jyp_v3	sehyeon_v3
5	551223863	189/17	jyp_v3	sehyeon_v3	sehyeon_v3
6	3102919678	191/15	sehyeon_v3	jyp_v3	sehyeon_v3
7	3209430113	193/17	jyp_v3	sehyeon_v3	sehyeon_v3
8	705426478	195/15	sehyeon_v3	jyp_v3	sehyeon_v3
9	2929613221	197/17	jyp_v3	sehyeon_v3	sehyeon_v3
10	1506830955	199/17	sehyeon_v3	jyp_v3	sehyeon_v3
11	3092122005	201/17	jyp_v3	sehyeon_v3	sehyeon_v3
12	854915445	203/17	sehyeon_v3	jyp_v3	sehyeon_v3
13	1584929842	205/15	jyp_v3	sehyeon_v3	sehyeon_v3
14	401525414	207/15	sehyeon_v3	jyp_v3	sehyeon_v3
15	783423596	209/15	jyp_v3	sehyeon_v3	sehyeon_v3
16	429619891	211/17	sehyeon_v3	jyp_v3	sehyeon_v3
17	696211302	213/15	jyp_v3	sehyeon_v3	sehyeon_v3
18	154369630	215/15	sehyeon_v3	jyp_v3	sehyeon_v3
19	24893858	217/15	jyp_v3	sehyeon_v3	sehyeon_v3
20	308761335	219/17	sehyeon_v3	jyp_v3	jyp_v3
21	3159016378	221/15	jyp_v3	sehyeon_v3	sehyeon_v3
22	2980326086	223/15	sehyeon_v3	jyp_v3	sehyeon_v3
23	908830988	225/19	jyp_v3	sehyeon_v3	sehyeon_v3
24	268730126	227/19	sehyeon_v3	jyp_v3	sehyeon_v3
25	652013450	229/19	jyp_v3	sehyeon_v3	sehyeon_v3
26	10366466	231/19	sehyeon_v3	jyp_v3	sehyeon_v3
27	755129148	233/15	jyp_v3	sehyeon_v3	sehyeon_v3
28	106212310	235/17	sehyeon_v3	jyp_v3	sehyeon_v3
29	728310579	237/15	jyp_v3	sehyeon_v3	sehyeon_v3
30	286705368	239/15	sehyeon_v3	jyp_v3	sehyeon_v3
31	296865835	241/17	jyp_v3	sehyeon_v3	sehyeon_v3
32	213703015	243/17	sehyeon_v3	jyp_v3	sehyeon_v3
33	106662962	245/19	jyp_v3	sehyeon_v3	sehyeon_v3
34	20464799	247/19	sehyeon_v3	jyp_v3	sehyeon_v3
35	2702232493	249/17	jyp_v3	sehyeon_v3	sehyeon_v3
36	1399214056	181/15	sehyeon_v3	jyp_v3	sehyeon_v3
37	73210240	183/15	jyp_v3	sehyeon_v3	sehyeon_v3
38	2952816386	185/17	sehyeon_v3	jyp_v3	sehyeon_v3
39	1897227864	187/13	jyp_v3	sehyeon_v3	sehyeon_v3
40	1293528846	189/13	sehyeon_v3	jyp_v3	sehyeon_v3
