game	seed	map	left	right	winner
1	3257430574	181/15	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
2	22333426	183/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
3	3082320752	185/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
4	182385034	187/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
5	3019418407	189/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
6	8947517	191/17	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
7	71338773	193/13	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
8	304821330	195/13	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
9	119712263	197/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
10	2036123893	199/17	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
11	1951720435	201/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
12	239959670	203/15	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
13	847129017	205/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
14	1438310356	207/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
15	1952212153	209/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
16	2758713885	211/17	round_6_jinsu_rush	new_rule_improved_v3	DRAW
17	2277829986	213/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
18	954413760	215/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
19	1641529444	217/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
20	227393848	219/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
21	130434191	221/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
22	2694132440	223/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
23	891132185	225/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
24	1820720777	227/19	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
25	20033679	229/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
26	3163321262	231/19	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
27	305688286	233/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
28	273067793	235/19	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
29	126624160	237/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
30	835212862	239/17	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
31	2879921109	241/15	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
32	2364421010	243/19	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
33	883110461	245/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
34	2579214939	247/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
35	130042798	249/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
36	1674825443	181/17	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
37	227978089	183/15	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
38	3241217645	185/17	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
39	2046120728	187/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
40	2618428554	189/13	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
