game	seed	map	left	right	winner
1	1524522400	181/15	sehyeon_v2	sehyeon_v1	DRAW
2	2064620394	183/13	sehyeon_v1	sehyeon_v2	DRAW
3	1306022435	185/17	sehyeon_v2	sehyeon_v1	DRAW
4	2435229476	187/17	sehyeon_v1	sehyeon_v2	DRAW
5	3124613185	189/15	sehyeon_v2	sehyeon_v1	DRAW
6	41939444	191/17	sehyeon_v1	sehyeon_v2	DRAW
7	2276930513	193/17	sehyeon_v2	sehyeon_v1	DRAW
8	1758430756	195/15	sehyeon_v1	sehyeon_v2	DRAW
9	16312667	197/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
10	317311049	199/17	sehyeon_v1	sehyeon_v2	sehyeon_v1
11	161684689	201/17	sehyeon_v2	sehyeon_v1	DRAW
12	2628323637	203/17	sehyeon_v1	sehyeon_v2	DRAW
13	2971517882	205/15	sehyeon_v2	sehyeon_v1	DRAW
14	2103921024	207/15	sehyeon_v1	sehyeon_v2	DRAW
15	2508929038	209/15	sehyeon_v2	sehyeon_v1	sehyeon_v1
16	159787444	211/15	sehyeon_v1	sehyeon_v2	DRAW
17	1899528139	213/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
18	617512615	215/17	sehyeon_v1	sehyeon_v2	DRAW
19	1858027960	217/15	sehyeon_v2	sehyeon_v1	DRAW
20	279397552	219/15	sehyeon_v1	sehyeon_v2	sehyeon_v1
21	3068222092	221/15	sehyeon_v2	sehyeon_v1	DRAW
22	2488532406	223/15	sehyeon_v1	sehyeon_v2	DRAW
23	2284214466	225/15	sehyeon_v2	sehyeon_v1	DRAW
24	2499912618	227/15	sehyeon_v1	sehyeon_v2	DRAW
25	117718552	229/17	sehyeon_v2	sehyeon_v1	DRAW
26	902714193	231/15	sehyeon_v1	sehyeon_v2	sehyeon_v2
27	2145312562	233/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
28	2309819268	235/15	sehyeon_v1	sehyeon_v2	DRAW
29	1536931520	237/19	sehyeon_v2	sehyeon_v1	DRAW
30	1932218507	239/19	sehyeon_v1	sehyeon_v2	sehyeon_v1
31	185498119	241/17	sehyeon_v2	sehyeon_v1	DRAW
32	2247923349	243/15	sehyeon_v1	sehyeon_v2	DRAW
33	202329820	245/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
34	2972018893	247/17	sehyeon_v1	sehyeon_v2	sehyeon_v2
35	2232412421	249/19	sehyeon_v2	sehyeon_v1	DRAW
36	1656510746	181/17	sehyeon_v1	sehyeon_v2	DRAW
37	2068521245	183/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
38	15479424	185/13	sehyeon_v1	sehyeon_v2	DRAW
39	3113517060	187/13	sehyeon_v2	sehyeon_v1	sehyeon_v1
40	178576688	189/17	sehyeon_v1	sehyeon_v2	sehyeon_v2
41	1016216630	191/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
42	28865635	193/15	sehyeon_v1	sehyeon_v2	DRAW
43	2986929116	195/17	sehyeon_v2	sehyeon_v1	DRAW
44	1048927113	197/17	sehyeon_v1	sehyeon_v2	DRAW
45	2011524116	199/15	sehyeon_v2	sehyeon_v1	DRAW
46	2412327605	201/17	sehyeon_v1	sehyeon_v2	DRAW
47	2317332659	203/17	sehyeon_v2	sehyeon_v1	DRAW
48	946820689	205/17	sehyeon_v1	sehyeon_v2	DRAW
49	1802425809	207/17	sehyeon_v2	sehyeon_v1	sehyeon_v2
50	1410725111	209/17	sehyeon_v1	sehyeon_v2	DRAW
51	305918760	211/15	sehyeon_v2	sehyeon_v1	DRAW
52	2581210334	213/15	sehyeon_v1	sehyeon_v2	DRAW
53	256131684	215/15	sehyeon_v2	sehyeon_v1	sehyeon_v1
54	2041019875	217/17	sehyeon_v1	sehyeon_v2	DRAW
55	1060615126	219/15	sehyeon_v2	sehyeon_v1	DRAW
56	3030832522	221/15	sehyeon_v1	sehyeon_v2	DRAW
57	313107242	223/15	sehyeon_v2	sehyeon_v1	sehyeon_v2
58	2098422698	225/19	sehyeon_v1	sehyeon_v2	DRAW
59	638324707	227/17	sehyeon_v2	sehyeon_v1	DRAW
60	31926313	229/17	sehyeon_v1	sehyeon_v2	sehyeon_v1
61	1074313025	231/19	sehyeon_v2	sehyeon_v1	DRAW
62	1889230068	233/15	sehyeon_v1	sehyeon_v2	sehyeon_v2
63	2711027653	235/17	sehyeon_v2	sehyeon_v1	sehyeon_v2
64	230347127	237/19	sehyeon_v1	sehyeon_v2	DRAW
65	1467719418	239/15	sehyeon_v2	sehyeon_v1	sehyeon_v2
66	290189478	241/15	sehyeon_v1	sehyeon_v2	sehyeon_v2
67	2322932399	243/19	sehyeon_v2	sehyeon_v1	DRAW
68	2753227788	245/15	sehyeon_v1	sehyeon_v2	DRAW
69	221932320	247/15	sehyeon_v2	sehyeon_v1	DRAW
70	1338018009	249/15	sehyeon_v1	sehyeon_v2	DRAW
71	2496713686	181/15	sehyeon_v2	sehyeon_v1	DRAW
72	1661620599	183/13	sehyeon_v1	sehyeon_v2	DRAW
73	867315760	185/15	sehyeon_v2	sehyeon_v1	DRAW
74	2695530898	187/15	sehyeon_v1	sehyeon_v2	DRAW
75	2040011417	189/17	sehyeon_v2	sehyeon_v1	DRAW
76	210372003	191/13	sehyeon_v1	sehyeon_v2	DRAW
77	98635138	193/15	sehyeon_v2	sehyeon_v1	DRAW
78	3423910	195/15	sehyeon_v1	sehyeon_v2	DRAW
79	242173499	197/17	sehyeon_v2	sehyeon_v1	DRAW
80	245506349	199/17	sehyeon_v1	sehyeon_v2	DRAW
81	2629730732	201/15	sehyeon_v2	sehyeon_v1	DRAW
82	1784521625	203/17	sehyeon_v1	sehyeon_v2	sehyeon_v2
83	685731179	205/17	sehyeon_v2	sehyeon_v1	DRAW
84	3081131423	207/17	sehyeon_v1	sehyeon_v2	DRAW
85	262186249	209/17	sehyeon_v2	sehyeon_v1	sehyeon_v1
