game	seed	map	left	right	winner
1	171422032	181/15	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
2	1907632235	183/17	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
3	2402928908	185/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
4	351526973	187/17	round_6_jinsu_rush	inhyuk_v1	round_6_jinsu_rush
5	2261523871	189/15	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
6	126315851	191/17	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
7	3110931970	193/15	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
8	1307624905	195/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
9	1743817651	197/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
10	2472026621	199/17	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
11	901915819	201/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
12	747219814	203/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
13	1853615358	205/15	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
14	88682680	207/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
15	1083915439	209/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
16	45013561	211/17	round_6_jinsu_rush	inhyuk_v1	round_6_jinsu_rush
17	2371530413	213/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
18	19609416	215/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
19	2845819589	217/17	inhyuk_v1	round_6_jinsu_rush	round_6_jinsu_rush
20	851418350	219/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
21	305094901	221/17	inhyuk_v1	round_6_jinsu_rush	round_6_jinsu_rush
22	922517306	223/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
23	124429465	225/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
24	216856005	227/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
25	9752030	229/19	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
26	208161533	231/19	round_6_jinsu_rush	inhyuk_v1	round_6_jinsu_rush
27	216314775	233/15	inhyuk_v1	round_6_jinsu_rush	round_6_jinsu_rush
28	707422424	235/19	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
29	442029652	237/17	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
30	80929350	239/15	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
31	865919826	241/15	inhyuk_v1	round_6_jinsu_rush	inhyuk_v1
32	1498221464	243/19	round_6_jinsu_rush	inhyuk_v1	inhyuk_v1
