game	seed	map	left	right	winner
1	2034432346	181/15	sehyeon_v1	jinsu_rush	DRAW
2	2245620060	183/13	jinsu_rush	sehyeon_v1	sehyeon_v1
3	3137627466	185/13	sehyeon_v1	jinsu_rush	sehyeon_v1
4	40019574	187/13	jinsu_rush	sehyeon_v1	jinsu_rush
5	168184179	189/13	sehyeon_v1	jinsu_rush	jinsu_rush
6	155689948	191/15	jinsu_rush	sehyeon_v1	jinsu_rush
7	1036831998	193/13	sehyeon_v1	jinsu_rush	sehyeon_v1
8	2901731285	195/17	jinsu_rush	sehyeon_v1	sehyeon_v1
9	60625767	197/17	sehyeon_v1	jinsu_rush	sehyeon_v1
10	58926112	199/15	jinsu_rush	sehyeon_v1	sehyeon_v1
11	652220395	201/17	sehyeon_v1	jinsu_rush	sehyeon_v1
12	2706313863	203/17	jinsu_rush	sehyeon_v1	sehyeon_v1
13	1643931884	205/15	sehyeon_v1	jinsu_rush	sehyeon_v1
14	1262326712	207/15	jinsu_rush	sehyeon_v1	sehyeon_v1
15	1148315669	209/17	sehyeon_v1	jinsu_rush	sehyeon_v1
16	2285819367	211/17	jinsu_rush	sehyeon_v1	sehyeon_v1
17	92310426	213/15	sehyeon_v1	jinsu_rush	jinsu_rush
18	1168622647	215/17	jinsu_rush	sehyeon_v1	sehyeon_v1
19	118224562	217/15	sehyeon_v1	jinsu_rush	sehyeon_v1
20	219408629	219/17	jinsu_rush	sehyeon_v1	sehyeon_v1
21	264041786	221/15	sehyeon_v1	jinsu_rush	sehyeon_v1
22	2373124291	223/17	jinsu_rush	sehyeon_v1	sehyeon_v1
23	112545508	225/17	sehyeon_v1	jinsu_rush	sehyeon_v1
24	2198032516	227/17	jinsu_rush	sehyeon_v1	sehyeon_v1
25	1872710537	229/19	sehyeon_v1	jinsu_rush	sehyeon_v1
26	145743491	231/19	jinsu_rush	sehyeon_v1	sehyeon_v1
27	1896218688	233/15	sehyeon_v1	jinsu_rush	sehyeon_v1
28	320416516	235/17	jinsu_rush	sehyeon_v1	jinsu_rush
29	1968221873	237/19	sehyeon_v1	jinsu_rush	sehyeon_v1
30	215604938	239/19	jinsu_rush	sehyeon_v1	jinsu_rush
31	281831866	241/17	sehyeon_v1	jinsu_rush	sehyeon_v1
32	13017645	243/15	jinsu_rush	sehyeon_v1	sehyeon_v1
33	2548221954	245/15	sehyeon_v1	jinsu_rush	sehyeon_v1
34	10919525	247/19	jinsu_rush	sehyeon_v1	sehyeon_v1
35	1005730585	249/17	sehyeon_v1	jinsu_rush	sehyeon_v1
36	219901651	181/15	jinsu_rush	sehyeon_v1	sehyeon_v1
37	1019625293	183/17	sehyeon_v1	jinsu_rush	sehyeon_v1
38	3181623358	185/15	jinsu_rush	sehyeon_v1	sehyeon_v1
39	1940513580	187/13	sehyeon_v1	jinsu_rush	sehyeon_v1
40	187431607	189/15	jinsu_rush	sehyeon_v1	sehyeon_v1
41	963620483	191/17	sehyeon_v1	jinsu_rush	sehyeon_v1
42	69406072	193/15	jinsu_rush	sehyeon_v1	sehyeon_v1
43	283416308	195/17	sehyeon_v1	jinsu_rush	sehyeon_v1
44	871017154	197/15	jinsu_rush	sehyeon_v1	jinsu_rush
45	2931119149	199/17	sehyeon_v1	jinsu_rush	sehyeon_v1
46	2176113003	201/17	jinsu_rush	sehyeon_v1	sehyeon_v1
47	307939922	203/15	sehyeon_v1	jinsu_rush	DRAW
48	39311550	205/15	jinsu_rush	sehyeon_v1	sehyeon_v1
49	1187532679	207/17	sehyeon_v1	jinsu_rush	sehyeon_v1
50	266087257	209/17	jinsu_rush	sehyeon_v1	jinsu_rush
51	3013325962	211/15	sehyeon_v1	jinsu_rush	sehyeon_v1
52	158617910	213/15	jinsu_rush	sehyeon_v1	sehyeon_v1
53	1482324245	215/17	sehyeon_v1	jinsu_rush	sehyeon_v1
54	715026905	217/17	jinsu_rush	sehyeon_v1	sehyeon_v1
55	26482011	219/17	sehyeon_v1	jinsu_rush	jinsu_rush
56	1286328921	221/17	jinsu_rush	sehyeon_v1	sehyeon_v1
57	3054516156	223/15	sehyeon_v1	jinsu_rush	sehyeon_v1
58	179562801	225/15	jinsu_rush	sehyeon_v1	sehyeon_v1
59	271402434	227/15	sehyeon_v1	jinsu_rush	sehyeon_v1
60	274574386	229/17	jinsu_rush	sehyeon_v1	sehyeon_v1
61	25944850	231/17	sehyeon_v1	jinsu_rush	sehyeon_v1
62	27431784	233/15	jinsu_rush	sehyeon_v1	sehyeon_v1
63	834427580	235/19	sehyeon_v1	jinsu_rush	sehyeon_v1
64	1410931615	237/17	jinsu_rush	sehyeon_v1	jinsu_rush
65	1899917317	239/17	sehyeon_v1	jinsu_rush	sehyeon_v1
66	164494800	241/15	jinsu_rush	sehyeon_v1	sehyeon_v1
67	2621715562	243/17	sehyeon_v1	jinsu_rush	sehyeon_v1
68	83047311	245/15	jinsu_rush	sehyeon_v1	sehyeon_v1
69	13498325	247/19	sehyeon_v1	jinsu_rush	sehyeon_v1
70	277628498	249/19	jinsu_rush	sehyeon_v1	sehyeon_v1
71	306163355	181/17	sehyeon_v1	jinsu_rush	sehyeon_v1
72	1299212987	183/17	jinsu_rush	sehyeon_v1	sehyeon_v1
73	1358327651	185/17	sehyeon_v1	jinsu_rush	sehyeon_v1
74	18756014	187/17	jinsu_rush	sehyeon_v1	sehyeon_v1
75	928928936	189/17	sehyeon_v1	jinsu_rush	sehyeon_v1
76	71005140	191/13	jinsu_rush	sehyeon_v1	sehyeon_v1
77	2000319974	193/17	sehyeon_v1	jinsu_rush	sehyeon_v1
