game	seed	map	left	right	winner
1	3016216702	181/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
2	60812640	183/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
3	2266322632	185/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
4	2344027008	187/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
5	2693324896	189/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
6	3089717497	191/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
7	177322753	193/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
8	1888910195	195/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
9	1973131051	197/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
10	300677453	199/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
11	2789024323	201/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
12	68479582	203/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
13	767225059	205/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
14	2398618796	207/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
15	2375512116	209/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
16	164419460	211/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
17	1443916632	213/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
18	1730620405	215/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
19	269321423	217/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
20	423920377	219/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
21	222363613	221/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
22	2197812554	223/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
23	2643519765	225/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
24	100494937	227/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
25	926728384	229/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
26	315936122	231/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
27	618120746	233/19	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
28	1596412732	235/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
29	11260943	237/19	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
30	3187022301	239/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
31	1129425610	241/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
32	1540012442	243/19	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
33	30538482	245/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
34	901624033	247/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
35	2231322133	249/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
36	202624412	181/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
37	351211921	183/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
38	2542418270	185/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
39	2621119899	187/13	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
40	51689145	189/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	round_6_jinsu_rush
41	293254408	191/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
42	1387418670	193/13	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
43	308526304	195/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
44	39511979	197/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
45	287591681	199/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
46	1492825633	201/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
47	2673915418	203/15	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
48	735816601	205/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
49	1506530187	207/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	baseline_round_6_sehyeon_improved
50	133709332	209/15	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
51	3149322363	211/17	baseline_round_6_sehyeon_improved	round_6_jinsu_rush	round_6_jinsu_rush
52	30115467	213/17	round_6_jinsu_rush	baseline_round_6_sehyeon_improved	baseline_round_6_sehyeon_improved
