game	seed	map	left	right	winner
1	2256224065	181/15	new_rule_improved_v2	rush	new_rule_improved_v2
2	10826933	183/17	rush	new_rule_improved_v2	rush
3	158221746	185/13	new_rule_improved_v2	rush	rush
4	2897818981	187/15	rush	new_rule_improved_v2	new_rule_improved_v2
5	2789122162	189/15	new_rule_improved_v2	rush	new_rule_improved_v2
6	2202328601	191/17	rush	new_rule_improved_v2	rush
7	1350613465	193/15	new_rule_improved_v2	rush	rush
8	223529031	195/13	rush	new_rule_improved_v2	new_rule_improved_v2
9	3187413709	197/17	new_rule_improved_v2	rush	rush
10	66366445	199/17	rush	new_rule_improved_v2	rush
11	150118920	201/15	new_rule_improved_v2	rush	new_rule_improved_v2
12	631913653	203/17	rush	new_rule_improved_v2	new_rule_improved_v2
13	235823115	205/17	new_rule_improved_v2	rush	rush
14	2930716228	207/15	rush	new_rule_improved_v2	new_rule_improved_v2
15	2552815239	209/17	new_rule_improved_v2	rush	new_rule_improved_v2
16	752622431	211/17	rush	new_rule_improved_v2	rush
17	208891056	213/15	new_rule_improved_v2	rush	rush
18	3076012639	215/17	rush	new_rule_improved_v2	new_rule_improved_v2
19	994511403	217/17	new_rule_improved_v2	rush	new_rule_improved_v2
20	821129503	219/17	rush	new_rule_improved_v2	rush
21	71529017	221/17	new_rule_improved_v2	rush	rush
22	109852409	223/17	rush	new_rule_improved_v2	rush
23	606724770	225/15	new_rule_improved_v2	rush	new_rule_improved_v2
24	267625971	227/15	rush	new_rule_improved_v2	rush
25	3080819144	229/19	new_rule_improved_v2	rush	new_rule_improved_v2
26	1080028036	231/17	rush	new_rule_improved_v2	rush
27	219265386	233/15	new_rule_improved_v2	rush	rush
28	2533715813	235/19	rush	new_rule_improved_v2	new_rule_improved_v2
29	1699623055	237/17	new_rule_improved_v2	rush	rush
30	323493360	239/15	rush	new_rule_improved_v2	new_rule_improved_v2
31	913716004	241/17	new_rule_improved_v2	rush	new_rule_improved_v2
32	958324362	243/15	rush	new_rule_improved_v2	rush
33	3215522890	245/17	new_rule_improved_v2	rush	rush
34	225798921	247/15	rush	new_rule_improved_v2	new_rule_improved_v2
35	65605082	249/19	new_rule_improved_v2	rush	new_rule_improved_v2
36	3040329377	181/17	rush	new_rule_improved_v2	rush
37	14898529	183/15	new_rule_improved_v2	rush	rush
38	1380011011	185/15	rush	new_rule_improved_v2	new_rule_improved_v2
39	730726283	187/17	new_rule_improved_v2	rush	new_rule_improved_v2
40	2982211478	189/17	rush	new_rule_improved_v2	new_rule_improved_v2
41	217229778	191/13	new_rule_improved_v2	rush	rush
42	2152210566	193/13	rush	new_rule_improved_v2	new_rule_improved_v2
43	28097489	195/17	new_rule_improved_v2	rush	new_rule_improved_v2
44	2819515584	197/15	rush	new_rule_improved_v2	rush
45	606522973	199/17	new_rule_improved_v2	rush	new_rule_improved_v2
46	477929107	201/17	rush	new_rule_improved_v2	rush
47	2442427219	203/17	new_rule_improved_v2	rush	rush
48	931432753	205/17	rush	new_rule_improved_v2	new_rule_improved_v2
49	52351061	207/17	new_rule_improved_v2	rush	rush
50	1449732179	209/17	rush	new_rule_improved_v2	new_rule_improved_v2
51	1729731197	211/17	new_rule_improved_v2	rush	rush
52	2435411859	213/17	rush	new_rule_improved_v2	rush
53	220031543	215/17	new_rule_improved_v2	rush	new_rule_improved_v2
54	726816026	217/15	rush	new_rule_improved_v2	rush
55	2704227648	219/15	new_rule_improved_v2	rush	rush
56	190382614	221/15	rush	new_rule_improved_v2	new_rule_improved_v2
57	23524237	223/17	new_rule_improved_v2	rush	rush
58	1661885	225/19	rush	new_rule_improved_v2	new_rule_improved_v2
59	2661325817	227/19	new_rule_improved_v2	rush	rush
60	2837610489	229/15	rush	new_rule_improved_v2	new_rule_improved_v2
61	1911521319	231/15	new_rule_improved_v2	rush	rush
62	2678027253	233/15	rush	new_rule_improved_v2	rush
63	2502426928	235/17	new_rule_improved_v2	rush	rush
64	1223816958	237/15	rush	new_rule_improved_v2	new_rule_improved_v2
65	1161304	239/17	new_rule_improved_v2	rush	new_rule_improved_v2
66	3205511903	241/19	rush	new_rule_improved_v2	new_rule_improved_v2
67	2272227070	243/17	new_rule_improved_v2	rush	new_rule_improved_v2
68	2795928373	245/17	rush	new_rule_improved_v2	rush
69	584125141	247/17	new_rule_improved_v2	rush	new_rule_improved_v2
70	1114110912	249/15	rush	new_rule_improved_v2	new_rule_improved_v2
71	311021653	181/15	new_rule_improved_v2	rush	rush
72	2357923399	183/15	rush	new_rule_improved_v2	rush
73	190267268	185/17	new_rule_improved_v2	rush	rush
74	1534023756	187/13	rush	new_rule_improved_v2	rush
75	1315627863	189/13	new_rule_improved_v2	rush	rush
76	47371607	191/17	rush	new_rule_improved_v2	rush
77	122897070	193/13	new_rule_improved_v2	rush	rush
78	1013324287	195/15	rush	new_rule_improved_v2	rush
79	2704127244	197/15	new_rule_improved_v2	rush	new_rule_improved_v2
80	263427259	199/17	rush	new_rule_improved_v2	new_rule_improved_v2
81	1482028620	201/15	new_rule_improved_v2	rush	new_rule_improved_v2
82	3233720991	203/17	rush	new_rule_improved_v2	new_rule_improved_v2
83	2370421817	205/17	new_rule_improved_v2	rush	rush
84	199919566	207/15	rush	new_rule_improved_v2	rush
85	2329512494	209/15	new_rule_improved_v2	rush	new_rule_improved_v2
86	1295711986	211/15	rush	new_rule_improved_v2	new_rule_improved_v2
87	349425312	213/15	new_rule_improved_v2	rush	rush
88	2179012256	215/15	rush	new_rule_improved_v2	rush
89	288104275	217/17	new_rule_improved_v2	rush	new_rule_improved_v2
90	2356723442	219/15	rush	new_rule_improved_v2	rush
91	35148407	221/17	new_rule_improved_v2	rush	rush
92	1302026728	223/15	rush	new_rule_improved_v2	rush
93	3275131133	225/19	new_rule_improved_v2	rush	rush
94	79424818	227/17	rush	new_rule_improved_v2	rush
95	2325113529	229/15	new_rule_improved_v2	rush	rush
96	3262021532	231/19	rush	new_rule_improved_v2	new_rule_improved_v2
97	1302321471	233/15	new_rule_improved_v2	rush	new_rule_improved_v2
