game	seed	map	left	right	winner
1	451317527	181/17	mass30	inhyuk_v6	inhyuk_v6
2	1528817151	183/13	inhyuk_v6	mass30	inhyuk_v6
3	2147824581	185/13	mass30	inhyuk_v6	inhyuk_v6
4	1280924262	187/13	inhyuk_v6	mass30	inhyuk_v6
5	594316039	189/15	mass30	inhyuk_v6	inhyuk_v6
6	1286313231	191/13	inhyuk_v6	mass30	inhyuk_v6
7	2726424266	193/17	mass30	inhyuk_v6	inhyuk_v6
8	2303827421	195/17	inhyuk_v6	mass30	inhyuk_v6
9	195992358	197/15	mass30	inhyuk_v6	inhyuk_v6
10	2509427078	199/15	inhyuk_v6	mass30	inhyuk_v6
11	484712987	201/17	mass30	inhyuk_v6	inhyuk_v6
12	1246414649	203/17	inhyuk_v6	mass30	inhyuk_v6
13	136952449	205/17	mass30	inhyuk_v6	inhyuk_v6
14	2496212966	207/15	inhyuk_v6	mass30	inhyuk_v6
15	3239630355	209/17	mass30	inhyuk_v6	inhyuk_v6
16	1524420217	211/17	inhyuk_v6	mass30	inhyuk_v6
17	2915726919	213/17	mass30	inhyuk_v6	inhyuk_v6
18	2082923055	215/17	inhyuk_v6	mass30	inhyuk_v6
19	132601934	217/15	mass30	inhyuk_v6	inhyuk_v6
20	310817612	219/15	inhyuk_v6	mass30	inhyuk_v6
21	2177212932	221/15	mass30	inhyuk_v6	inhyuk_v6
22	1367628325	223/17	inhyuk_v6	mass30	inhyuk_v6
23	3185322651	225/15	mass30	inhyuk_v6	inhyuk_v6
24	2894213534	227/19	inhyuk_v6	mass30	inhyuk_v6
25	2438424032	229/19	mass30	inhyuk_v6	inhyuk_v6
26	2223412858	231/17	inhyuk_v6	mass30	inhyuk_v6
27	3020820069	233/15	mass30	inhyuk_v6	inhyuk_v6
28	470528839	235/17	inhyuk_v6	mass30	inhyuk_v6
29	86122096	237/17	mass30	inhyuk_v6	inhyuk_v6
30	1925832229	239/17	inhyuk_v6	mass30	inhyuk_v6
31	2626912682	241/19	mass30	inhyuk_v6	inhyuk_v6
32	102399171	243/15	inhyuk_v6	mass30	inhyuk_v6
33	188278880	245/19	mass30	inhyuk_v6	inhyuk_v6
34	45067317	247/15	inhyuk_v6	mass30	inhyuk_v6
35	3090021871	249/17	mass30	inhyuk_v6	inhyuk_v6
36	2524327128	181/13	inhyuk_v6	mass30	inhyuk_v6
37	561222382	183/15	mass30	inhyuk_v6	inhyuk_v6
38	3132231625	185/15	inhyuk_v6	mass30	inhyuk_v6
39	570515630	187/17	mass30	inhyuk_v6	inhyuk_v6
40	205444976	189/17	inhyuk_v6	mass30	inhyuk_v6
41	295887255	191/13	mass30	inhyuk_v6	inhyuk_v6
