game	seed	map	left	right	winner
1	385325781	181/13	jyp_v2	sehyeon_v3	sehyeon_v3
2	78501935	183/17	sehyeon_v3	jyp_v2	sehyeon_v3
3	12556232	185/17	jyp_v2	sehyeon_v3	DRAW
4	2615331305	187/17	sehyeon_v3	jyp_v2	DRAW
5	807913221	189/13	jyp_v2	sehyeon_v3	jyp_v2
6	134196444	191/13	sehyeon_v3	jyp_v2	sehyeon_v3
7	16949826	193/13	jyp_v2	sehyeon_v3	sehyeon_v3
8	2355330685	195/15	sehyeon_v3	jyp_v2	sehyeon_v3
9	3150521002	197/15	jyp_v2	sehyeon_v3	sehyeon_v3
10	144199999	199/17	sehyeon_v3	jyp_v2	sehyeon_v3
11	541725362	201/15	jyp_v2	sehyeon_v3	sehyeon_v3
12	604510777	203/17	sehyeon_v3	jyp_v2	sehyeon_v3
13	209831420	205/15	jyp_v2	sehyeon_v3	sehyeon_v3
14	650923379	207/17	sehyeon_v3	jyp_v2	sehyeon_v3
15	151808252	209/15	jyp_v2	sehyeon_v3	sehyeon_v3
16	885028884	211/15	sehyeon_v3	jyp_v2	sehyeon_v3
17	234174414	213/15	jyp_v2	sehyeon_v3	jyp_v2
18	105975261	215/17	sehyeon_v3	jyp_v2	DRAW
19	119411892	217/15	jyp_v2	sehyeon_v3	sehyeon_v3
20	3090612079	219/17	sehyeon_v3	jyp_v2	DRAW
21	2023326244	221/15	jyp_v2	sehyeon_v3	DRAW
22	268213794	223/15	sehyeon_v3	jyp_v2	jyp_v2
23	1374530414	225/19	jyp_v2	sehyeon_v3	jyp_v2
24	1592418692	227/19	sehyeon_v3	jyp_v2	DRAW
25	2904920187	229/15	jyp_v2	sehyeon_v3	sehyeon_v3
26	176248923	231/15	sehyeon_v3	jyp_v2	sehyeon_v3
27	354614580	233/15	jyp_v2	sehyeon_v3	jyp_v2
28	3008626396	235/17	sehyeon_v3	jyp_v2	sehyeon_v3
29	571111393	237/17	jyp_v2	sehyeon_v3	sehyeon_v3
30	3135030662	239/19	sehyeon_v3	jyp_v2	jyp_v2
31	32521959	241/15	jyp_v2	sehyeon_v3	sehyeon_v3
32	1264926581	243/19	sehyeon_v3	jyp_v2	DRAW
33	3225514499	245/19	jyp_v2	sehyeon_v3	DRAW
34	1522726801	247/17	sehyeon_v3	jyp_v2	jyp_v2
35	3167224506	249/15	jyp_v2	sehyeon_v3	sehyeon_v3
36	1644529647	181/13	sehyeon_v3	jyp_v2	sehyeon_v3
37	40024606	183/15	jyp_v2	sehyeon_v3	jyp_v2
38	1935214945	185/15	sehyeon_v3	jyp_v2	jyp_v2
39	14037238	187/15	jyp_v2	sehyeon_v3	DRAW
40	675922719	189/13	sehyeon_v3	jyp_v2	jyp_v2
41	95926047	191/13	jyp_v2	sehyeon_v3	sehyeon_v3
42	2595621306	193/13	sehyeon_v3	jyp_v2	sehyeon_v3
43	510729677	195/17	jyp_v2	sehyeon_v3	DRAW
44	151122431	197/17	sehyeon_v3	jyp_v2	sehyeon_v3
45	181616833	199/17	jyp_v2	sehyeon_v3	jyp_v2
46	209075339	201/17	sehyeon_v3	jyp_v2	sehyeon_v3
47	2280525534	203/15	jyp_v2	sehyeon_v3	sehyeon_v3
48	287242567	205/17	sehyeon_v3	jyp_v2	sehyeon_v3
49	1482532556	207/15	jyp_v2	sehyeon_v3	sehyeon_v3
50	322831782	209/15	sehyeon_v3	jyp_v2	sehyeon_v3
51	1022421196	211/15	jyp_v2	sehyeon_v3	sehyeon_v3
52	154723475	213/17	sehyeon_v3	jyp_v2	DRAW
53	31437464	215/15	jyp_v2	sehyeon_v3	DRAW
54	2847623453	217/17	sehyeon_v3	jyp_v2	sehyeon_v3
55	233225840	219/15	jyp_v2	sehyeon_v3	sehyeon_v3
56	579426159	221/17	sehyeon_v3	jyp_v2	sehyeon_v3
57	1448130287	223/17	jyp_v2	sehyeon_v3	sehyeon_v3
58	46525723	225/17	sehyeon_v3	jyp_v2	sehyeon_v3
59	323677	227/17	jyp_v2	sehyeon_v3	sehyeon_v3
60	1024331967	229/15	sehyeon_v3	jyp_v2	jyp_v2
61	1349929384	231/17	jyp_v2	sehyeon_v3	DRAW
62	526629658	233/17	sehyeon_v3	jyp_v2	sehyeon_v3
63	199248590	235/19	jyp_v2	sehyeon_v3	jyp_v2
64	320916677	237/19	sehyeon_v3	jyp_v2	sehyeon_v3
65	1642721132	239/19	jyp_v2	sehyeon_v3	sehyeon_v3
66	2669414670	241/15	sehyeon_v3	jyp_v2	DRAW
67	2533417772	243/19	jyp_v2	sehyeon_v3	jyp_v2
68	24612843	245/15	sehyeon_v3	jyp_v2	sehyeon_v3
69	2977827631	247/17	jyp_v2	sehyeon_v3	DRAW
70	2195629663	249/17	sehyeon_v3	jyp_v2	sehyeon_v3
71	3097018901	181/17	jyp_v2	sehyeon_v3	jyp_v2
72	3255521710	183/15	sehyeon_v3	jyp_v2	sehyeon_v3
73	172645271	185/17	jyp_v2	sehyeon_v3	sehyeon_v3
74	1303411345	187/15	sehyeon_v3	jyp_v2	DRAW
75	2454027594	189/13	jyp_v2	sehyeon_v3	sehyeon_v3
76	216242198	191/17	sehyeon_v3	jyp_v2	jyp_v2
77	238255691	193/17	jyp_v2	sehyeon_v3	sehyeon_v3
