game	seed	map	left	right	winner
1	126616464	181/13	sr_reinf	inhyuk_v6	inhyuk_v6
2	803428637	183/17	inhyuk_v6	sr_reinf	inhyuk_v6
3	713411291	185/17	sr_reinf	inhyuk_v6	inhyuk_v6
4	2452532119	187/15	inhyuk_v6	sr_reinf	sr_reinf
5	280898283	189/13	sr_reinf	inhyuk_v6	inhyuk_v6
6	1126015941	191/13	inhyuk_v6	sr_reinf	inhyuk_v6
7	1509425082	193/13	sr_reinf	inhyuk_v6	sr_reinf
8	168807730	195/15	inhyuk_v6	sr_reinf	inhyuk_v6
9	192517004	197/15	sr_reinf	inhyuk_v6	inhyuk_v6
10	283679	199/17	inhyuk_v6	sr_reinf	inhyuk_v6
11	1032615660	201/15	sr_reinf	inhyuk_v6	inhyuk_v6
12	286126762	203/15	inhyuk_v6	sr_reinf	sr_reinf
13	164382123	205/17	sr_reinf	inhyuk_v6	sr_reinf
14	2984319899	207/17	inhyuk_v6	sr_reinf	sr_reinf
15	139153816	209/15	sr_reinf	inhyuk_v6	inhyuk_v6
16	1857218378	211/15	inhyuk_v6	sr_reinf	sr_reinf
17	167529367	213/17	sr_reinf	inhyuk_v6	sr_reinf
18	1658025910	215/15	inhyuk_v6	sr_reinf	inhyuk_v6
19	105761430	217/15	sr_reinf	inhyuk_v6	inhyuk_v6
20	889530940	219/15	inhyuk_v6	sr_reinf	inhyuk_v6
21	13413354	221/15	sr_reinf	inhyuk_v6	sr_reinf
22	3139030976	223/15	inhyuk_v6	sr_reinf	inhyuk_v6
23	502615755	225/15	sr_reinf	inhyuk_v6	sr_reinf
24	133755952	227/17	inhyuk_v6	sr_reinf	inhyuk_v6
25	1168527760	229/17	sr_reinf	inhyuk_v6	sr_reinf
26	2792514267	231/15	inhyuk_v6	sr_reinf	inhyuk_v6
27	294176897	233/19	sr_reinf	inhyuk_v6	inhyuk_v6
28	3010418574	235/15	inhyuk_v6	sr_reinf	sr_reinf
29	2459526298	237/17	sr_reinf	inhyuk_v6	sr_reinf
30	16687167	239/15	inhyuk_v6	sr_reinf	sr_reinf
31	3151420649	241/19	sr_reinf	inhyuk_v6	inhyuk_v6
32	148321333	243/17	inhyuk_v6	sr_reinf	sr_reinf
33	484427499	245/15	sr_reinf	inhyuk_v6	inhyuk_v6
34	1098013883	247/19	inhyuk_v6	sr_reinf	inhyuk_v6
35	1717428246	249/15	sr_reinf	inhyuk_v6	inhyuk_v6
36	84274527	181/13	inhyuk_v6	sr_reinf	sr_reinf
37	3101217480	183/13	sr_reinf	inhyuk_v6	inhyuk_v6
38	142019325	185/13	inhyuk_v6	sr_reinf	sr_reinf
39	122619035	187/17	sr_reinf	inhyuk_v6	sr_reinf
40	2172621931	189/15	inhyuk_v6	sr_reinf	sr_reinf
41	2248622913	191/13	sr_reinf	inhyuk_v6	sr_reinf
42	1798527990	193/13	inhyuk_v6	sr_reinf	sr_reinf
43	2515011617	195/17	sr_reinf	inhyuk_v6	sr_reinf
44	1538329816	197/15	inhyuk_v6	sr_reinf	inhyuk_v6
45	87937132	199/15	sr_reinf	inhyuk_v6	inhyuk_v6
46	1869326811	201/17	inhyuk_v6	sr_reinf	inhyuk_v6
47	1327819832	203/15	sr_reinf	inhyuk_v6	sr_reinf
48	2504219854	205/15	inhyuk_v6	sr_reinf	sr_reinf
49	1934521862	207/15	sr_reinf	inhyuk_v6	sr_reinf
50	2643516951	209/17	inhyuk_v6	sr_reinf	sr_reinf
51	128978874	211/15	sr_reinf	inhyuk_v6	sr_reinf
52	76226424	213/15	inhyuk_v6	sr_reinf	inhyuk_v6
53	19133910	215/15	sr_reinf	inhyuk_v6	inhyuk_v6
54	848921572	217/15	inhyuk_v6	sr_reinf	inhyuk_v6
55	3215022618	219/15	sr_reinf	inhyuk_v6	inhyuk_v6
56	1327825748	221/15	inhyuk_v6	sr_reinf	inhyuk_v6
57	1949320295	223/17	sr_reinf	inhyuk_v6	inhyuk_v6
58	2162231501	225/19	inhyuk_v6	sr_reinf	inhyuk_v6
59	246717421	227/17	sr_reinf	inhyuk_v6	inhyuk_v6
60	2129013015	229/15	inhyuk_v6	sr_reinf	sr_reinf
61	602712923	231/19	sr_reinf	inhyuk_v6	inhyuk_v6
62	1321121617	233/17	inhyuk_v6	sr_reinf	inhyuk_v6
63	32165649	235/15	sr_reinf	inhyuk_v6	inhyuk_v6
64	129101404	237/17	inhyuk_v6	sr_reinf	sr_reinf
65	2459722250	239/19	sr_reinf	inhyuk_v6	inhyuk_v6
66	3017514960	241/15	inhyuk_v6	sr_reinf	inhyuk_v6
67	2768820506	243/19	sr_reinf	inhyuk_v6	inhyuk_v6
68	3251419715	245/19	inhyuk_v6	sr_reinf	inhyuk_v6
69	1625817576	247/15	sr_reinf	inhyuk_v6	inhyuk_v6
70	1427124446	249/19	inhyuk_v6	sr_reinf	sr_reinf
71	2634510724	181/15	sr_reinf	inhyuk_v6	sr_reinf
72	455827903	183/15	inhyuk_v6	sr_reinf	sr_reinf
73	133655383	185/15	sr_reinf	inhyuk_v6	sr_reinf
74	55075809	187/13	inhyuk_v6	sr_reinf	sr_reinf
75	1700630322	189/13	sr_reinf	inhyuk_v6	sr_reinf
76	1809717061	191/15	inhyuk_v6	sr_reinf	inhyuk_v6
77	1519431006	193/13	sr_reinf	inhyuk_v6	inhyuk_v6
78	547128478	195/15	inhyuk_v6	sr_reinf	inhyuk_v6
79	2235924321	197/17	sr_reinf	inhyuk_v6	inhyuk_v6
80	2917015636	199/15	inhyuk_v6	sr_reinf	sr_reinf
81	2069014470	201/15	sr_reinf	inhyuk_v6	sr_reinf
82	3078115453	203/17	inhyuk_v6	sr_reinf	sr_reinf
83	1146415448	205/15	sr_reinf	inhyuk_v6	sr_reinf
84	373218532	207/15	inhyuk_v6	sr_reinf	inhyuk_v6
