game	seed	map	left	right	winner
1	2114710562	181/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
2	1753513346	183/17	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
3	20488924	185/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
4	1799015686	187/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
5	3147512033	189/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
6	80787508	191/15	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
7	1213418	193/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
8	321827399	195/17	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
9	1030720410	197/15	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
10	2542121536	199/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
11	1966516798	201/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
12	1753431806	203/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
13	2490218344	205/15	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
14	1321916960	207/15	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
15	2520631320	209/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
16	2309611713	211/17	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
17	1025815584	213/15	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
18	1231415630	215/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
19	3137728831	217/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
20	2099518052	219/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
21	1633921201	221/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
22	192695088	223/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
23	73928611	225/17	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
24	2292231434	227/19	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
25	2633223467	229/19	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
26	2774429116	231/17	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
27	1253421443	233/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
28	181382014	235/17	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
29	1052217206	237/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
30	1572815754	239/15	round_6_jinsu_rush	new_rule_improved_v3	round_6_jinsu_rush
31	748231166	241/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
32	2704326057	243/15	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
33	831514627	245/17	new_rule_improved_v3	round_6_jinsu_rush	round_6_jinsu_rush
34	2255221710	247/15	round_6_jinsu_rush	new_rule_improved_v3	new_rule_improved_v3
35	1275823604	249/19	new_rule_improved_v3	round_6_jinsu_rush	new_rule_improved_v3
