game	seed	map	left	right	winner
1	68425995	181/13	inhyuk_v5	sehyeon_v3	inhyuk_v5
2	327326439	183/13	sehyeon_v3	inhyuk_v5	sehyeon_v3
3	612817963	185/15	inhyuk_v5	sehyeon_v3	DRAW
4	122231005	187/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
5	941524390	189/15	inhyuk_v5	sehyeon_v3	sehyeon_v3
6	154954517	191/17	sehyeon_v3	inhyuk_v5	DRAW
7	273918510	193/13	inhyuk_v5	sehyeon_v3	DRAW
8	781320454	195/15	sehyeon_v3	inhyuk_v5	DRAW
9	1333414739	197/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
10	677325934	199/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
11	25295997	201/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
12	1304419433	203/17	sehyeon_v3	inhyuk_v5	inhyuk_v5
13	242071377	205/17	inhyuk_v5	sehyeon_v3	DRAW
14	1925322820	207/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
15	1926620490	209/15	inhyuk_v5	sehyeon_v3	inhyuk_v5
16	511023471	211/17	sehyeon_v3	inhyuk_v5	DRAW
17	70421900	213/15	inhyuk_v5	sehyeon_v3	DRAW
18	1307220007	215/17	sehyeon_v3	inhyuk_v5	inhyuk_v5
19	2149514646	217/15	inhyuk_v5	sehyeon_v3	sehyeon_v3
20	1166822632	219/15	sehyeon_v3	inhyuk_v5	DRAW
21	1771712359	221/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
22	11138998	223/15	sehyeon_v3	inhyuk_v5	DRAW
23	131434825	225/17	inhyuk_v5	sehyeon_v3	DRAW
24	2172114792	227/15	sehyeon_v3	inhyuk_v5	DRAW
25	213632682	229/15	inhyuk_v5	sehyeon_v3	DRAW
26	3204932029	231/17	sehyeon_v3	inhyuk_v5	DRAW
27	59620007	233/19	inhyuk_v5	sehyeon_v3	inhyuk_v5
28	143207706	235/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
29	45884720	237/19	inhyuk_v5	sehyeon_v3	DRAW
30	309489577	239/17	sehyeon_v3	inhyuk_v5	inhyuk_v5
31	1133016271	241/17	inhyuk_v5	sehyeon_v3	sehyeon_v3
32	150346327	243/17	sehyeon_v3	inhyuk_v5	sehyeon_v3
33	39574379	245/19	inhyuk_v5	sehyeon_v3	DRAW
34	653122499	247/19	sehyeon_v3	inhyuk_v5	sehyeon_v3
35	243102479	249/19	inhyuk_v5	sehyeon_v3	DRAW
36	22877605	181/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
37	620219434	183/15	inhyuk_v5	sehyeon_v3	inhyuk_v5
38	2751423676	185/15	sehyeon_v3	inhyuk_v5	DRAW
39	2749421057	187/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
40	292019536	189/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
41	68752	191/15	inhyuk_v5	sehyeon_v3	DRAW
42	67514634	193/13	sehyeon_v3	inhyuk_v5	inhyuk_v5
43	2811931809	195/13	inhyuk_v5	sehyeon_v3	DRAW
44	2420430075	197/17	sehyeon_v3	inhyuk_v5	DRAW
45	2856220966	199/15	inhyuk_v5	sehyeon_v3	DRAW
46	214206166	201/15	sehyeon_v3	inhyuk_v5	DRAW
47	1806031411	203/17	inhyuk_v5	sehyeon_v3	DRAW
48	2578613105	205/17	sehyeon_v3	inhyuk_v5	sehyeon_v3
49	2837411104	207/15	inhyuk_v5	sehyeon_v3	sehyeon_v3
50	89256302	209/15	sehyeon_v3	inhyuk_v5	DRAW
51	3028926992	211/15	inhyuk_v5	sehyeon_v3	DRAW
52	174967514	213/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
53	462820691	215/17	inhyuk_v5	sehyeon_v3	sehyeon_v3
54	2686214607	217/17	sehyeon_v3	inhyuk_v5	sehyeon_v3
55	2278020552	219/15	inhyuk_v5	sehyeon_v3	inhyuk_v5
56	31753136	221/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
57	206735539	223/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
58	2460623821	225/17	sehyeon_v3	inhyuk_v5	DRAW
59	515720818	227/17	inhyuk_v5	sehyeon_v3	DRAW
60	2371232654	229/19	sehyeon_v3	inhyuk_v5	DRAW
61	123667651	231/17	inhyuk_v5	sehyeon_v3	DRAW
62	45717075	233/15	sehyeon_v3	inhyuk_v5	DRAW
63	173248490	235/19	inhyuk_v5	sehyeon_v3	DRAW
64	152115006	237/15	sehyeon_v3	inhyuk_v5	sehyeon_v3
65	42159026	239/19	inhyuk_v5	sehyeon_v3	inhyuk_v5
66	1658110788	241/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
67	1204731017	243/19	inhyuk_v5	sehyeon_v3	DRAW
68	295467578	245/19	sehyeon_v3	inhyuk_v5	sehyeon_v3
69	212819148	247/15	inhyuk_v5	sehyeon_v3	sehyeon_v3
70	433431460	249/17	sehyeon_v3	inhyuk_v5	inhyuk_v5
71	385021121	181/17	inhyuk_v5	sehyeon_v3	DRAW
72	2901915676	183/15	sehyeon_v3	inhyuk_v5	inhyuk_v5
73	2582119911	185/13	inhyuk_v5	sehyeon_v3	inhyuk_v5
74	2479826967	187/13	sehyeon_v3	inhyuk_v5	DRAW
75	161752660	189/15	inhyuk_v5	sehyeon_v3	sehyeon_v3
76	1763518721	191/17	sehyeon_v3	inhyuk_v5	DRAW
77	12301637	193/17	inhyuk_v5	sehyeon_v3	inhyuk_v5
