game	seed	map	left	right	winner
1	42000	181/13	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	DRAW
2	42001	183/15	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
3	42002	185/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
4	42003	187/13	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
5	42004	189/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
6	42005	191/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
7	42006	193/13	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
8	42007	195/15	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
9	42008	197/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	DRAW
10	42009	199/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
11	42010	201/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
12	42011	203/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
13	42012	205/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
14	42013	207/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
15	42014	209/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
16	42015	211/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
17	42016	213/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	DRAW
18	42017	215/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
19	42018	217/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
20	42019	219/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
21	42020	221/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
22	42021	223/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
23	42022	225/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
24	42023	227/19	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
25	42024	229/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
26	42025	231/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
27	42026	233/19	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
28	42027	235/15	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	DRAW
29	42028	237/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	DRAW
30	42029	239/19	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
31	42030	241/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
32	42031	243/17	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
33	42032	245/19	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	DRAW
34	42033	247/15	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp
35	42034	249/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/inhyuk_v1_refactor.cpp	/home/inhyeok/work/inhyuk_v2.cpp
