game	seed	map	left	right	winner
1	3248418188	181/17	sr_fast	inhyuk_v6	inhyuk_v6
2	2441927243	183/17	inhyuk_v6	sr_fast	sr_fast
3	338025756	185/13	sr_fast	inhyuk_v6	inhyuk_v6
4	162631548	187/13	inhyuk_v6	sr_fast	inhyuk_v6
5	1125616194	189/13	sr_fast	inhyuk_v6	inhyuk_v6
6	271019102	191/17	inhyuk_v6	sr_fast	inhyuk_v6
7	3014021716	193/15	sr_fast	inhyuk_v6	inhyuk_v6
8	1929219884	195/17	inhyuk_v6	sr_fast	inhyuk_v6
9	117847596	197/15	sr_fast	inhyuk_v6	inhyuk_v6
10	839925963	199/17	inhyuk_v6	sr_fast	inhyuk_v6
11	211679311	201/17	sr_fast	inhyuk_v6	inhyuk_v6
12	535412498	203/15	inhyuk_v6	sr_fast	inhyuk_v6
13	3268931699	205/17	sr_fast	inhyuk_v6	inhyuk_v6
14	268461537	207/17	inhyuk_v6	sr_fast	inhyuk_v6
15	72139674	209/15	sr_fast	inhyuk_v6	inhyuk_v6
16	1493816246	211/15	inhyuk_v6	sr_fast	inhyuk_v6
17	3057313085	213/17	sr_fast	inhyuk_v6	inhyuk_v6
18	1684217452	215/15	inhyuk_v6	sr_fast	inhyuk_v6
19	2277518301	217/17	sr_fast	inhyuk_v6	inhyuk_v6
20	312330258	219/15	inhyuk_v6	sr_fast	inhyuk_v6
21	2748519349	221/17	sr_fast	inhyuk_v6	inhyuk_v6
22	30826175	223/17	inhyuk_v6	sr_fast	inhyuk_v6
23	143759344	225/17	sr_fast	inhyuk_v6	inhyuk_v6
24	3207930906	227/15	inhyuk_v6	sr_fast	inhyuk_v6
25	1833026709	229/15	sr_fast	inhyuk_v6	inhyuk_v6
26	1687721470	231/17	inhyuk_v6	sr_fast	inhyuk_v6
27	1996523568	233/15	sr_fast	inhyuk_v6	inhyuk_v6
28	294218435	235/19	inhyuk_v6	sr_fast	inhyuk_v6
29	146836201	237/17	sr_fast	inhyuk_v6	inhyuk_v6
30	1863419957	239/19	inhyuk_v6	sr_fast	inhyuk_v6
31	3150824281	241/17	sr_fast	inhyuk_v6	inhyuk_v6
32	291951692	243/19	inhyuk_v6	sr_fast	inhyuk_v6
33	110749023	245/15	sr_fast	inhyuk_v6	inhyuk_v6
34	1926317641	247/17	inhyuk_v6	sr_fast	inhyuk_v6
35	1243028639	249/19	sr_fast	inhyuk_v6	inhyuk_v6
36	2086417672	181/15	inhyuk_v6	sr_fast	inhyuk_v6
37	209057088	183/13	sr_fast	inhyuk_v6	inhyuk_v6
38	263069816	185/17	inhyuk_v6	sr_fast	inhyuk_v6
39	98818170	187/13	sr_fast	inhyuk_v6	inhyuk_v6
40	3024922435	189/15	inhyuk_v6	sr_fast	inhyuk_v6
41	47419699	191/15	sr_fast	inhyuk_v6	inhyuk_v6
42	291176829	193/13	inhyuk_v6	sr_fast	inhyuk_v6
43	1928224460	195/17	sr_fast	inhyuk_v6	inhyuk_v6
44	2041426205	197/17	inhyuk_v6	sr_fast	inhyuk_v6
45	2768426952	199/15	sr_fast	inhyuk_v6	sr_fast
46	2966618343	201/17	inhyuk_v6	sr_fast	inhyuk_v6
47	38864902	203/15	sr_fast	inhyuk_v6	inhyuk_v6
48	441318888	205/15	inhyuk_v6	sr_fast	sr_fast
49	202119974	207/15	sr_fast	inhyuk_v6	inhyuk_v6
50	276645118	209/15	inhyuk_v6	sr_fast	inhyuk_v6
51	712520174	211/15	sr_fast	inhyuk_v6	inhyuk_v6
52	1398713695	213/17	inhyuk_v6	sr_fast	inhyuk_v6
53	12215029	215/17	sr_fast	inhyuk_v6	sr_fast
54	836327430	217/15	inhyuk_v6	sr_fast	inhyuk_v6
55	1302325610	219/15	sr_fast	inhyuk_v6	inhyuk_v6
56	2668832138	221/15	inhyuk_v6	sr_fast	inhyuk_v6
57	312919928	223/15	sr_fast	inhyuk_v6	inhyuk_v6
58	203057276	225/19	inhyuk_v6	sr_fast	inhyuk_v6
59	916218350	227/19	sr_fast	inhyuk_v6	inhyuk_v6
60	57786260	229/19	inhyuk_v6	sr_fast	inhyuk_v6
61	1956622199	231/19	sr_fast	inhyuk_v6	inhyuk_v6
62	2259431977	233/17	inhyuk_v6	sr_fast	inhyuk_v6
63	3074422119	235/15	sr_fast	inhyuk_v6	inhyuk_v6
64	841530014	237/19	inhyuk_v6	sr_fast	inhyuk_v6
65	563224117	239/17	sr_fast	inhyuk_v6	inhyuk_v6
66	2169025621	241/17	inhyuk_v6	sr_fast	inhyuk_v6
67	1427626779	243/15	sr_fast	inhyuk_v6	inhyuk_v6
68	143264429	245/19	inhyuk_v6	sr_fast	inhyuk_v6
69	296292918	247/15	sr_fast	inhyuk_v6	inhyuk_v6
70	279618758	249/19	inhyuk_v6	sr_fast	inhyuk_v6
71	537624969	181/13	sr_fast	inhyuk_v6	inhyuk_v6
72	1732516458	183/13	inhyuk_v6	sr_fast	inhyuk_v6
73	2880228370	185/15	sr_fast	inhyuk_v6	sr_fast
74	1825617142	187/15	inhyuk_v6	sr_fast	inhyuk_v6
75	16319532	189/13	sr_fast	inhyuk_v6	inhyuk_v6
76	1232632128	191/13	inhyuk_v6	sr_fast	inhyuk_v6
77	95813620	193/15	sr_fast	inhyuk_v6	inhyuk_v6
78	2114432016	195/13	inhyuk_v6	sr_fast	inhyuk_v6
79	228678545	197/17	sr_fast	inhyuk_v6	inhyuk_v6
80	838531877	199/17	inhyuk_v6	sr_fast	inhyuk_v6
81	171177523	201/17	sr_fast	inhyuk_v6	inhyuk_v6
82	2596426460	203/15	inhyuk_v6	sr_fast	inhyuk_v6
83	272729703	205/17	sr_fast	inhyuk_v6	inhyuk_v6
84	3174621271	207/17	inhyuk_v6	sr_fast	inhyuk_v6
85	198498656	209/15	sr_fast	inhyuk_v6	inhyuk_v6
86	156231570	211/15	inhyuk_v6	sr_fast	inhyuk_v6
87	163113041	213/17	sr_fast	inhyuk_v6	inhyuk_v6
88	44126947	215/17	inhyuk_v6	sr_fast	inhyuk_v6
89	975032172	217/15	sr_fast	inhyuk_v6	inhyuk_v6
90	241535438	219/15	inhyuk_v6	sr_fast	inhyuk_v6
91	182111570	221/15	sr_fast	inhyuk_v6	inhyuk_v6
92	471215797	223/17	inhyuk_v6	sr_fast	inhyuk_v6
93	502525749	225/15	sr_fast	inhyuk_v6	inhyuk_v6
