game	seed	map	left	right	winner
1	21849650	181/17	babsang	rush	rush
2	2072118448	183/15	rush	babsang	rush
3	51424661	185/17	babsang	rush	rush
4	1520426108	187/17	rush	babsang	rush
5	1427916814	189/15	babsang	rush	rush
6	2486323600	191/15	rush	babsang	rush
7	1601726613	193/13	babsang	rush	rush
8	855720714	195/13	rush	babsang	rush
9	1783623014	197/15	babsang	rush	rush
10	2035015158	199/15	rush	babsang	rush
11	201925518	201/15	babsang	rush	rush
12	3062828696	203/15	rush	babsang	rush
13	2133229104	205/15	babsang	rush	rush
14	1742831366	207/15	rush	babsang	rush
15	2108923911	209/17	babsang	rush	rush
16	1534032400	211/15	rush	babsang	rush
17	1344332038	213/15	babsang	rush	rush
18	2171419698	215/15	rush	babsang	rush
19	2404624576	217/15	babsang	rush	rush
20	1832031734	219/15	rush	babsang	rush
21	22267154	221/15	babsang	rush	rush
22	194716862	223/15	rush	babsang	rush
23	430511392	225/17	babsang	rush	rush
24	228198448	227/17	rush	babsang	rush
25	20182255	229/17	babsang	rush	rush
26	113475401	231/19	rush	babsang	rush
27	2959015770	233/15	babsang	rush	rush
28	804721734	235/15	rush	babsang	rush
29	289552379	237/19	babsang	rush	rush
30	118025566	239/17	rush	babsang	rush
31	1607730049	241/17	babsang	rush	rush
32	264232196	243/19	rush	babsang	rush
33	96349498	245/17	babsang	rush	rush
34	2073413400	247/15	rush	babsang	rush
35	2803713856	249/17	babsang	rush	rush
36	2213714493	181/13	rush	babsang	rush
37	2526515360	183/17	babsang	rush	rush
38	2090520678	185/13	rush	babsang	rush
39	3166024560	187/13	babsang	rush	rush
40	2220718878	189/13	rush	babsang	rush
41	155710426	191/15	babsang	rush	rush
42	615215859	193/13	rush	babsang	rush
43	171065594	195/17	babsang	rush	rush
44	280516325	197/17	rush	babsang	rush
45	2464022701	199/17	babsang	rush	rush
46	1712425326	201/15	rush	babsang	rush
47	238462815	203/17	babsang	rush	rush
48	1998410705	205/17	rush	babsang	rush
49	2447510198	207/15	babsang	rush	rush
50	2905632189	209/17	rush	babsang	rush
51	1233513503	211/17	babsang	rush	rush
52	18074509	213/17	rush	babsang	rush
53	143584096	215/15	babsang	rush	rush
54	852818284	217/15	rush	babsang	rush
55	64059907	219/17	babsang	rush	rush
56	698418557	221/17	rush	babsang	rush
57	319225194	223/15	babsang	rush	rush
58	1886911468	225/17	rush	babsang	rush
59	2263214196	227/15	babsang	rush	rush
60	1843613006	229/19	rush	babsang	rush
61	635515869	231/15	babsang	rush	rush
62	260692345	233/17	rush	babsang	rush
63	1168525512	235/15	babsang	rush	rush
64	177556251	237/15	rush	babsang	rush
65	961627198	239/17	babsang	rush	rush
66	2409927250	241/17	rush	babsang	rush
67	1293326280	243/15	babsang	rush	rush
68	3017914179	245/15	rush	babsang	rush
69	115672673	247/19	babsang	rush	rush
70	132773829	249/15	rush	babsang	rush
71	305971701	181/13	babsang	rush	rush
72	3198225441	183/13	rush	babsang	rush
73	244415619	185/13	babsang	rush	rush
74	1192717228	187/15	rush	babsang	rush
75	2472717728	189/17	babsang	rush	rush
76	249724430	191/17	rush	babsang	rush
77	858220156	193/15	babsang	rush	rush
78	2713721127	195/13	rush	babsang	rush
79	87817674	197/15	babsang	rush	rush
80	2592732711	199/17	rush	babsang	rush
81	36210734	201/15	babsang	rush	rush
82	494619042	203/15	rush	babsang	rush
83	38017597	205/17	babsang	rush	rush
84	1428425617	207/17	rush	babsang	rush
85	1449710107	209/17	babsang	rush	rush
86	222161391	211/17	rush	babsang	rush
87	2677524379	213/17	babsang	rush	rush
88	2812421934	215/15	rush	babsang	rush
89	1043314920	217/15	babsang	rush	rush
90	2858723878	219/15	rush	babsang	rush
91	154819541	221/17	babsang	rush	rush
92	1771915886	223/15	rush	babsang	rush
93	141417673	225/17	babsang	rush	rush
94	18929103	227/15	rush	babsang	rush
95	2235030551	229/19	babsang	rush	rush
96	5402225	231/19	rush	babsang	rush
97	1889818962	233/15	babsang	rush	rush
98	10123562	235/19	rush	babsang	rush
99	1121329706	237/19	babsang	rush	rush
100	733520383	239/17	rush	babsang	rush
101	693028441	241/17	babsang	rush	rush
102	501623803	243/17	rush	babsang	rush
103	2055915023	245/19	babsang	rush	rush
104	1082219476	247/17	rush	babsang	rush
105	1682112660	249/15	babsang	rush	rush
