game	seed	map	left	right	winner
1	344324691	181/13	jinsu_exp_d	sehyeon_v3	sehyeon_v3
2	3249911173	183/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
3	762815474	185/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
4	152312761	187/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
5	487621048	189/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
6	2297517267	191/13	sehyeon_v3	jinsu_exp_d	sehyeon_v3
7	2894730357	193/13	jinsu_exp_d	sehyeon_v3	sehyeon_v3
8	84123783	195/13	sehyeon_v3	jinsu_exp_d	sehyeon_v3
9	2809720697	197/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
10	695325875	199/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
11	286581109	201/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
12	2576226195	203/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
13	1245523095	205/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
14	2840131671	207/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
15	1563410695	209/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
16	3213325612	211/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
17	1859225516	213/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
18	1521996	215/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
19	798415662	217/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
20	195137897	219/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
21	187922230	221/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
22	2690824712	223/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
23	226218657	225/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
24	179595401	227/19	sehyeon_v3	jinsu_exp_d	sehyeon_v3
25	2752431370	229/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
26	2584629450	231/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
27	1850632379	233/19	jinsu_exp_d	sehyeon_v3	sehyeon_v3
28	147935824	235/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
29	2596216260	237/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
30	1013623270	239/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
31	2170510141	241/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
32	596922886	243/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
33	367114181	245/19	jinsu_exp_d	sehyeon_v3	sehyeon_v3
34	2926212305	247/19	sehyeon_v3	jinsu_exp_d	sehyeon_v3
35	127676445	249/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
36	2577212020	181/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
37	944922107	183/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
38	114668699	185/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
39	826428005	187/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
40	2295924331	189/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
41	1399824565	191/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
42	3193418248	193/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
43	2142630236	195/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
44	2996812988	197/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
45	1273322702	199/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
46	2351931397	201/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
47	387119782	203/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
48	1573926331	205/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
49	287424190	207/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
50	224719664	209/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
51	511331444	211/15	jinsu_exp_d	sehyeon_v3	sehyeon_v3
52	328930511	213/17	sehyeon_v3	jinsu_exp_d	sehyeon_v3
53	1551322931	215/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
54	2524714146	217/15	sehyeon_v3	jinsu_exp_d	sehyeon_v3
55	178205659	219/17	jinsu_exp_d	sehyeon_v3	sehyeon_v3
