game	seed	map	left	right	winner
1	961000	181/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
2	961001	183/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
3	961002	185/13	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
4	961003	187/15	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
5	961004	189/17	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp
6	961005	191/13	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
7	961006	193/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
8	961007	195/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
9	961008	197/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
10	961009	199/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
11	961010	201/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
12	961011	203/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
13	961012	205/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
14	961013	207/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
15	961014	209/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
16	961015	211/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
17	961016	213/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
18	961017	215/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
19	961018	217/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
20	961019	219/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
21	961020	221/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp
22	961021	223/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
23	961022	225/19	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	DRAW
24	961023	227/15	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
25	961024	229/17	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp
26	961025	231/19	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
27	961026	233/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp
28	961027	235/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
29	961028	237/19	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
30	961029	239/15	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
31	961030	241/17	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
32	961031	243/19	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	/home/inhyeok/work/inhyuk_v3.cpp
33	961032	245/15	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	TEAM/round_9_1300/sehyeon_v1.cpp
34	961033	247/17	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp	DRAW
35	961034	249/19	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	/home/inhyeok/work/inhyuk_v3.cpp
