game	seed	map	left	right	winner
1	279023373	181/13	babsang	staged_rush	staged_rush
2	1400731941	183/13	staged_rush	babsang	staged_rush
3	172637093	185/17	babsang	staged_rush	staged_rush
4	25210524	187/13	staged_rush	babsang	staged_rush
5	567219167	189/17	babsang	staged_rush	staged_rush
6	2442728227	191/15	staged_rush	babsang	staged_rush
7	719526479	193/17	babsang	staged_rush	staged_rush
8	2452322648	195/17	staged_rush	babsang	staged_rush
9	2854219637	197/17	babsang	staged_rush	staged_rush
10	26368685	199/17	staged_rush	babsang	staged_rush
11	2937026768	201/15	babsang	staged_rush	staged_rush
12	224081287	203/17	staged_rush	babsang	staged_rush
13	1043532293	205/17	babsang	staged_rush	staged_rush
14	64718304	207/15	staged_rush	babsang	staged_rush
15	2429231033	209/17	babsang	staged_rush	staged_rush
16	2454919888	211/15	staged_rush	babsang	staged_rush
17	183225959	213/17	babsang	staged_rush	staged_rush
18	145517738	215/15	staged_rush	babsang	staged_rush
19	671924557	217/17	babsang	staged_rush	staged_rush
20	218124797	219/17	staged_rush	babsang	staged_rush
21	999114765	221/17	babsang	staged_rush	staged_rush
22	1964614748	223/15	staged_rush	babsang	staged_rush
23	1778115225	225/15	babsang	staged_rush	staged_rush
24	111804015	227/15	staged_rush	babsang	staged_rush
25	1028511735	229/15	babsang	staged_rush	staged_rush
26	2817721464	231/15	staged_rush	babsang	staged_rush
27	126036983	233/19	babsang	staged_rush	staged_rush
28	544911373	235/17	staged_rush	babsang	staged_rush
29	2791122252	237/15	babsang	staged_rush	staged_rush
30	2934526132	239/17	staged_rush	babsang	staged_rush
31	195286754	241/19	babsang	staged_rush	staged_rush
32	405710	243/19	staged_rush	babsang	staged_rush
33	2697832725	245/15	babsang	staged_rush	staged_rush
34	1373410457	247/19	staged_rush	babsang	staged_rush
35	31874649	249/15	babsang	staged_rush	staged_rush
36	2735711416	181/15	staged_rush	babsang	staged_rush
37	175646326	183/15	babsang	staged_rush	staged_rush
38	635028129	185/13	staged_rush	babsang	staged_rush
39	864119834	187/17	babsang	staged_rush	staged_rush
40	1538127933	189/13	staged_rush	babsang	staged_rush
41	296710505	191/17	babsang	staged_rush	staged_rush
42	539620269	193/13	staged_rush	babsang	staged_rush
43	71114874	195/13	babsang	staged_rush	staged_rush
44	2203124253	197/17	staged_rush	babsang	staged_rush
45	2403210078	199/15	babsang	staged_rush	staged_rush
46	18840916	201/15	staged_rush	babsang	staged_rush
47	461429861	203/17	babsang	staged_rush	staged_rush
48	1294431772	205/15	staged_rush	babsang	staged_rush
49	511223538	207/15	babsang	staged_rush	staged_rush
50	196309414	209/15	staged_rush	babsang	staged_rush
51	1052026513	211/17	babsang	staged_rush	staged_rush
52	82324186	213/15	staged_rush	babsang	staged_rush
53	2922012881	215/17	babsang	staged_rush	staged_rush
54	1462110255	217/17	staged_rush	babsang	staged_rush
55	3192930937	219/17	babsang	staged_rush	staged_rush
56	135843879	221/17	staged_rush	babsang	staged_rush
57	36974368	223/15	babsang	staged_rush	staged_rush
58	1403525871	225/15	staged_rush	babsang	staged_rush
59	1314329425	227/17	babsang	staged_rush	staged_rush
60	461317284	229/15	staged_rush	babsang	staged_rush
61	421822871	231/19	babsang	staged_rush	staged_rush
62	79315917	233/15	staged_rush	babsang	staged_rush
63	87201747	235/15	babsang	staged_rush	staged_rush
64	1050118168	237/17	staged_rush	babsang	staged_rush
65	1139430966	239/15	babsang	staged_rush	staged_rush
66	907320122	241/19	staged_rush	babsang	staged_rush
67	2306525492	243/19	babsang	staged_rush	staged_rush
68	1429922521	245/17	staged_rush	babsang	staged_rush
69	1503218064	247/15	babsang	staged_rush	staged_rush
70	1815728351	249/19	staged_rush	babsang	staged_rush
71	2245518126	181/13	babsang	staged_rush	staged_rush
72	1135226535	183/13	staged_rush	babsang	staged_rush
73	1900323276	185/13	babsang	staged_rush	staged_rush
74	1167332140	187/15	staged_rush	babsang	staged_rush
75	19109919	189/13	babsang	staged_rush	staged_rush
76	90626185	191/15	staged_rush	babsang	staged_rush
77	561428750	193/17	babsang	staged_rush	staged_rush
78	955210374	195/13	staged_rush	babsang	staged_rush
79	2577229600	197/15	babsang	staged_rush	staged_rush
80	208452109	199/17	staged_rush	babsang	staged_rush
81	3073411125	201/17	babsang	staged_rush	staged_rush
82	729628024	203/15	staged_rush	babsang	staged_rush
83	851113388	205/15	babsang	staged_rush	staged_rush
84	2521816876	207/15	staged_rush	babsang	staged_rush
85	2691016683	209/17	babsang	staged_rush	staged_rush
86	372817807	211/17	staged_rush	babsang	staged_rush
87	112725084	213/15	babsang	staged_rush	staged_rush
88	1289332640	215/15	staged_rush	babsang	staged_rush
89	62797578	217/15	babsang	staged_rush	staged_rush
90	163707291	219/17	staged_rush	babsang	staged_rush
91	177208275	221/17	babsang	staged_rush	staged_rush
92	835829374	223/15	staged_rush	babsang	staged_rush
93	2308432401	225/15	babsang	staged_rush	staged_rush
94	2614321275	227/15	staged_rush	babsang	staged_rush
95	1568331340	229/17	babsang	staged_rush	staged_rush
96	498519337	231/17	staged_rush	babsang	staged_rush
97	2487622874	233/19	babsang	staged_rush	staged_rush
98	1387622917	235/17	staged_rush	babsang	staged_rush
99	188344839	237/15	babsang	staged_rush	staged_rush
100	201479169	239/15	staged_rush	babsang	staged_rush
101	719211341	241/19	babsang	staged_rush	staged_rush
102	198235154	243/19	staged_rush	babsang	staged_rush
103	1239427297	245/17	babsang	staged_rush	staged_rush
104	2279818444	247/17	staged_rush	babsang	staged_rush
105	2932210858	249/17	babsang	staged_rush	staged_rush
