game	seed	map	left	right	winner
1	292222123	181/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
2	19604107	183/15	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1_refactor
3	976721081	185/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
4	189952910	187/17	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1_refactor
5	2408017792	189/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
6	43227441	191/13	inhyuk_v1	inhyuk_v1_refactor	DRAW
7	32068887	193/13	inhyuk_v1_refactor	inhyuk_v1	DRAW
8	1214418279	195/13	inhyuk_v1	inhyuk_v1_refactor	DRAW
9	1901520656	197/15	inhyuk_v1_refactor	inhyuk_v1	inhyuk_v1
10	2368119096	199/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
11	1068031992	201/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
12	3187220531	203/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
13	2909811195	205/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
14	1056914621	207/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
15	3181313472	209/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
16	2932231176	211/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
17	463313285	213/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
18	379523389	215/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
19	234577660	217/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
20	98395807	219/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
21	37783	221/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
22	677626915	223/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
23	95366964	225/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
24	956529043	227/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
25	50717553	229/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
26	790020137	231/19	inhyuk_v1	inhyuk_v1_refactor	DRAW
27	487828791	233/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
28	2109020367	235/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
29	1693929095	237/19	inhyuk_v1_refactor	inhyuk_v1	DRAW
30	251703312	239/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
31	14711343	241/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
32	2920915410	243/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
33	3021629895	245/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
34	348832521	247/15	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1_refactor
35	2984818612	249/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
36	2099821137	181/13	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1_refactor
37	2864413397	183/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
38	2679221881	185/15	inhyuk_v1	inhyuk_v1_refactor	DRAW
39	2367018962	187/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
40	187571307	189/13	inhyuk_v1	inhyuk_v1_refactor	DRAW
41	1885115309	191/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
42	25425855	193/13	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1
43	1988317410	195/13	inhyuk_v1_refactor	inhyuk_v1	DRAW
44	337930049	197/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
45	882531923	199/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
46	250994707	201/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
47	249183027	203/17	inhyuk_v1_refactor	inhyuk_v1	DRAW
48	2378132263	205/17	inhyuk_v1	inhyuk_v1_refactor	DRAW
49	2224410692	207/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
50	312966149	209/17	inhyuk_v1	inhyuk_v1_refactor	inhyuk_v1_refactor
51	2917718004	211/15	inhyuk_v1_refactor	inhyuk_v1	DRAW
