when	user	A	B	games	jobs	map	seed_base	A_win	B_win	draw	err	A_rate	se_pp	runid
2026-08-29T13:12:19	ubuntu	jyp_v2	inhyuk_v2	105	6	sweep(N=181..249)	-	38	51	16	0	0.427	5.2	20260829T131200-ubuntu-2563446
2026-08-29T13:12:28	ubuntu	jyp_v2	jinsu_rush	105	6	sweep(N=181..249)	-	89	12	4	0	0.881	3.2	20260829T131219-ubuntu-2642630
2026-08-29T13:13:45	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	runs/contest/round_9/submission_133205.cpp	70	4	sweep(N=181..249)	931000	8	9	53	0	0.471	12.1	20260829T131319-inhyeok-2707739
2026-08-29T13:15:52	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	runs/contest/round_9/submission_133205.cpp	70	4	sweep(N=181..249)	941000	17	36	17	0	0.321	6.4	20260829T131531-inhyeok-2768707
2026-08-29T13:17:32	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	runs/contest/round_9/submission_133205.cpp	70	4	sweep(N=181..249)	951000	19	15	36	0	0.559	8.5	20260829T131711-inhyeok-2824295
2026-08-29T13:17:53	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/inhyuk_v2.cpp	35	4	sweep(N=181..249)	961000	15	9	11	0	0.625	9.9	20260829T131744-inhyeok-2879937
2026-08-29T13:18:02	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/sehyeon_v1.cpp	35	4	sweep(N=181..249)	961000	13	8	14	0	0.619	10.6	20260829T131753-inhyeok-2906639
2026-08-29T13:18:09	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_9_1300/jinsu_rush.cpp	35	4	sweep(N=181..249)	961000	33	2	0	0	0.943	3.9	20260829T131802-inhyeok-2933255
2026-08-29T13:18:40	inhyeok	/home/inhyeok/work/inhyuk_v3.cpp	TEAM/round_10_1315/sehyeon_v3.cpp	35	4	sweep(N=181..249)	971000	13	7	15	0	0.650	10.7	20260829T131828-inhyeok-2954099
2026-08-29T13:21:08	ubuntu	sehyeon_v4	sehyeon_v3	105	6	sweep(N=181..249)	-	17	51	37	0	0.250	5.3	20260829T132041-ubuntu-2982270
2026-08-29T13:21:33	ubuntu	sehyeon_v4	inhyuk_v3	105	6	sweep(N=181..249)	-	13	68	24	0	0.160	4.1	20260829T132108-ubuntu-3063091
2026-08-29T13:21:58	ubuntu	sehyeon_v4	inhyuk_v2	105	6	sweep(N=181..249)	-	12	62	31	0	0.162	4.3	20260829T132133-ubuntu-3143210
2026-08-29T13:22:11	ubuntu	sehyeon_v4	jinsu_rush	105	6	sweep(N=181..249)	-	95	10	0	0	0.905	2.9	20260829T132158-ubuntu-3224896
