battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
676494	1	고양이와 집사	1990	WIN	RIGHT	0-1	battle_676494_g1_right.log
676520	1	C_4=K_{2,2}	1570	WIN	RIGHT	0-1	battle_676520_g1_right.log
676527	1	deepsick	1510	WIN	LEFT	1-0	battle_676527_g1_left.log
676340	1	0262	1510	WIN	RIGHT	0-1	battle_676340_g1_right.log
676525	1	Decagrammaton	1480	WIN	LEFT	1-0	battle_676525_g1_left.log
676359	1	thanhchauns2	1330	WIN	RIGHT	0-1	battle_676359_g1_right.log
676410	1	안녕하세요민이입니다잘부탁드립니다	1260	WIN	RIGHT	0-1	battle_676410_g1_right.log
676526	1	DeepRed	1260	WIN	LEFT	1-0	battle_676526_g1_left.log
676452	1	예쁜 말 고운 말 - 1558	980	WIN	RIGHT	0-1	battle_676452_g1_right.log
676515	1	Ferris	880	WIN	RIGHT	0-1	battle_676515_g1_right.log
676485	1	Dorillas	650	WIN	RIGHT	0-1	battle_676485_g1_right.log
676377	1	돌	1910	DRAW	RIGHT	1/2-1/2	battle_676377_g1_right.log
676425	1	모지리들	1780	DRAW	RIGHT	1/2-1/2	battle_676425_g1_right.log
676502	1	역대급 물로켓	1650	DRAW	RIGHT	1/2-1/2	battle_676502_g1_right.log
676464	1	빔앤권	2020	LOSS	RIGHT	1-0	battle_676464_g1_right.log
676509	1	윤호와 함께 춤을	1950	LOSS	RIGHT	1-0	battle_676509_g1_right.log
676475	1	Re:Entropy	1880	LOSS	RIGHT	1-0	battle_676475_g1_right.log
676528	1	NEXT NATION	1740	LOSS	LEFT	0-1	battle_676528_g1_left.log
676439	1	봇이지 뭐	1690	LOSS	RIGHT	1-0	battle_676439_g1_right.log
676394	1	따뜻한밥상	1570	LOSS	RIGHT	1-0	battle_676394_g1_right.log
